Частота	A * B
(kГц)	(?)

0.00000000	0.03601903
0.02384186	0.04391870
0.04768372	0.13427890
0.07152557	0.32731360
0.09536743	0.30283290
0.11920929	0.10648730
0.14305115	0.04026262
0.16689301	0.03223017
0.19073486	0.04872077
0.21457672	0.07147157
0.23841858	0.10799440
0.26226044	0.09260404
0.28610229	0.06278433
0.30994415	0.04999820
0.33378601	0.04892314
0.35762787	0.05362953
0.38146973	0.05497989
0.40531158	0.05813035
0.42915344	0.05872604
0.45299530	0.06728875
0.47683716	0.08609764
0.50067902	0.07583077
0.52452087	0.05676713
0.54836273	0.04271859
0.57220459	0.03567704
0.59604645	0.05446560
0.61988831	0.12318490
0.64373016	0.21143470
0.66757202	0.14755410
0.69141388	0.06099198
0.71525574	0.03254069
0.73909760	0.03020037
0.76293945	0.12994380
0.78678131	0.66171070
0.81062317	1.04425600
0.83446503	0.58707170
0.85830688	0.09777692
0.88214874	0.02956611
0.90599060	0.03673689
0.92983246	0.06046930
0.95367432	0.11405040
0.97751617	0.14384240
1.00135803	0.08621425
1.02519989	0.05282521
1.04904175	0.04129094
1.07288361	0.04737643
1.09672546	0.05619262
1.12056732	0.06544485
1.14440918	0.06884683
1.16825104	0.06364104
1.19209290	0.06555845
1.21593475	0.07043786
1.23977661	0.05921389
1.26361847	0.05163815
1.28746033	0.04200277
1.31130219	0.04526187
1.33514404	0.06767605
1.35898590	0.12676020
1.38282776	0.13954890
1.40666962	0.07846208
1.43051147	0.04535459
1.45435333	0.02800358
1.47819519	0.04520546
1.50203705	0.36179530
1.52587891	1.03255100
1.54972076	1.00006200
1.57356262	0.32813620
1.59740448	0.04287181
1.62124634	0.02682062
1.64508820	0.04722077
1.66893005	0.10005670
1.69277191	0.19937320
1.71661377	0.16711070
1.74045563	0.07146923
1.76429749	0.04061192
1.78813934	0.03761604
1.81198120	0.05130702
1.83582306	0.06586438
1.85966492	0.08606871
1.88350677	0.07382134
1.90734863	0.06187337
1.93119049	0.05852481
1.95503235	0.05632047
1.97887421	0.05483162
2.00271606	0.05024469
2.02655792	0.04839567
2.05039978	0.05610587
2.07424164	0.07706327
2.09808350	0.11151580
2.12192535	0.08828008
2.14576721	0.05650762
2.16960907	0.03787836
2.19345093	0.03256842
2.21729279	0.06374145
2.24113464	0.22610080
2.26497650	0.36905410
2.28881836	0.22397380
2.31266022	0.06381740
2.33650208	0.02923431
2.36034393	0.03276739
2.38418579	0.07625018
2.40802765	0.24597610
2.43186951	0.34126070
2.45571136	0.17666350
2.47955322	0.05345883
2.50339508	0.03141071
2.52723694	0.04121694
2.55107880	0.05992697
2.57492065	0.09355491
2.59876251	0.10573490
2.62260437	0.07108835
2.64644623	0.05402080
2.67028809	0.04907122
2.69412994	0.05156450
2.71797180	0.05482161
2.74181366	0.05624918
2.76565552	0.05742456
2.78949738	0.06328558
2.81333923	0.07889111
2.83718109	0.08571924
2.86102295	0.06319919
2.88486481	0.04877588
2.90870667	0.03574257
2.93254852	0.04369426
2.95639038	0.08431046
2.98023224	0.19137290
3.00407410	0.19468420
3.02791595	0.08704917
3.05175781	0.04238676
3.07559967	0.02607070
3.09944153	0.05275248
3.12328339	0.36272850
3.14712524	0.89682220
