Частота	Канал A
(kГц)	(В)

0.00000000	0.25079130
0.02384186	0.10509120
0.04768372	0.01615751
0.07152557	0.00045261
0.09536743	0.00048838
0.11920929	0.00036100
0.14305115	0.00053584
0.16689301	0.00027134
0.19073486	0.00037708
0.21457672	0.00028258
0.23841858	0.00043223
0.26226044	0.00051807
0.28610229	0.00116170
0.30994415	0.00278896
0.33378601	0.00336993
0.35762787	0.00270363
0.38146973	0.00116548
0.40531158	0.00030428
0.42915344	0.00039422
0.45299530	0.00024835
0.47683716	0.00038515
0.50067902	0.00020523
0.52452087	0.00040276
0.54836273	0.00033924
0.57220459	0.00060694
0.59604645	0.00047180
0.61988831	0.00122821
0.64373016	0.00351277
0.66757202	0.00407877
0.69141388	0.00278552
0.71525574	0.00101868
0.73909760	0.00029785
0.76293945	0.00052926
0.78678131	0.00033235
0.81062317	0.00049863
0.83446503	0.00028157
0.85830688	0.00012285
0.88214874	0.00012156
0.90599060	0.00055440
0.92983246	0.00057504
0.95367432	0.01481895
0.97751617	0.08656191
1.00135803	0.13738720
1.02519989	0.07624363
1.04904175	0.01001608
1.07288361	0.00054734
1.09672546	0.00049228
1.12056732	0.00024104
1.14440918	0.00024862
1.16825104	0.00013484
1.19209290	0.00031122
1.21593475	0.00013387
1.23977661	0.00050219
1.26361847	0.00065798
1.28746033	0.00123927
1.31130219	0.00255837
1.33514404	0.00238529
1.35898590	0.00163808
1.38282776	0.00088259
1.40666962	0.00028396
1.43051147	0.00069552
1.45435333	0.00037539
1.47819519	0.00032492
1.50203705	0.00016553
1.52587891	0.00031535
1.54972076	0.00030808
1.57356262	0.00057625
1.59740448	0.00061370
1.62124634	0.00122921
1.64508820	0.00412216
1.66893005	0.00448453
1.69277191	0.00256372
1.71661377	0.00097433
1.74045563	0.00025351
1.76429749	0.00048576
1.78813934	0.00030126
1.81198120	0.00052480
1.83582306	0.00032605
1.85966492	0.00025175
1.88350677	0.00038042
1.90734863	0.00076979
1.93119049	0.00070669
1.95503235	0.01672632
1.97887421	0.08706994
2.00271606	0.12979200
2.02655792	0.06758146
2.05039978	0.00790247
2.07424164	0.00056007
2.09808350	0.00055077
2.12192535	0.00020936
2.14576721	0.00055119
2.16960907	0.00049749
2.19345093	0.00037206
2.21729279	0.00034910
2.24113464	0.00043811
2.26497650	0.00068189
2.28881836	0.00087411
2.31266022	0.00176207
2.33650208	0.00087982
2.36034393	0.00056709
2.38418579	0.00089791
2.40802765	0.00045539
2.43186951	0.00055842
2.45571136	0.00020271
2.47955322	0.00017311
2.50339508	0.00028647
2.52723694	0.00048927
2.55107880	0.00043823
2.57492065	0.00035452
2.59876251	0.00060249
2.62260437	0.00146873
2.64644623	0.00454014
2.67028809	0.00446105
2.69412994	0.00223487
2.71797180	0.00092880
2.74181366	0.00016108
2.76565552	0.00048232
2.78949738	0.00037173
2.81333923	0.00042640
2.83718109	0.00035015
2.86102295	0.00047969
2.88486481	0.00049812
2.90870667	0.00055014
2.93254852	0.00076827
2.95639038	0.01792262
2.98023224	0.08437964
3.00407410	0.11828980
3.02791595	0.05775528
3.05175781	0.00589490
3.07559967	0.00030599
3.09944153	0.00039008
3.12328339	0.00019840
3.14712524	0.00030501
3.17096710	0.00042885
3.19480896	0.00027315
3.21865082	0.00020732
3.24249268	0.00033808
3.26633453	0.00085719
3.29017639	0.00090982
3.31401825	0.00108905
3.33786011	0.00064837
3.36170197	0.00065755
3.38554382	0.00089741
3.40938568	0.00041171
3.43322754	0.00048091
3.45706940	0.00031235
3.48091125	0.00028557
3.50475311	0.00041969
3.52859497	0.00027085
3.55243683	0.00045600
3.57627869	0.00035264
3.60012054	0.00083850
3.62396240	0.00129821
3.64780426	0.00407404
3.67164612	0.00369528
3.69548798	0.00136451
3.71932983	0.00086271
3.74317169	0.00046919
3.76701355	0.00043609
3.79085541	0.00025864
3.81469727	0.00038470
3.83853912	0.00037386
3.86238098	0.00037361
3.88622284	0.00046569
3.91006470	0.00030989
3.93390656	0.00087927
3.95774841	0.01840831
3.98159027	0.07825150
4.00543213	0.10329720
4.02927399	0.04741053
4.05311584	0.00429947
4.07695770	0.00029540
4.10079956	0.00046795
4.12464142	0.00032300
4.14848328	0.00024628
4.17232513	0.00030418
4.19616699	0.00023232
4.22000885	0.00049961
4.24385071	0.00031372
4.26769257	0.00054281
4.29153442	0.00028251
4.31537628	0.00070801
4.33921814	0.00215367
4.36306000	0.00140474
4.38690186	0.00077994
4.41074371	0.00053762
4.43458557	0.00056487
4.45842743	0.00041965
4.48226929	0.00028496
4.50611115	0.00044922
4.52995300	0.00021275
4.55379486	0.00029987
4.57763672	0.00031491
4.60147858	0.00088785
4.62532043	0.00124133
4.64916229	0.00359376
4.67300415	0.00290963
4.69684601	0.00086869
4.72068787	0.00093180
4.74452972	0.00066968
4.76837158	0.00055070
4.79221344	0.00033779
4.81605530	0.00037884
4.83989716	0.00047436
4.86373901	0.00021936
4.88758087	0.00041876
4.91142273	0.00046091
4.93526459	0.00116247
4.95910645	0.01791337
4.98294830	0.06909491
5.00679016	0.08575392
5.03063202	0.03690015
5.05447388	0.00294938
5.07831573	0.00027937
5.10215759	0.00046643
5.12599945	0.00041804
5.14984131	0.00026966
5.17368317	0.00040479
5.19752502	0.00020838
5.22136688	0.00041917
5.24520874	0.00033077
5.26905060	0.00075828
5.29289246	0.00059311
5.31673431	0.00148063
5.34057617	0.00319140
5.36441803	0.00209129
5.38825989	0.00066811
5.41210175	0.00031108
5.43594360	0.00043284
5.45978546	0.00052528
5.48362732	0.00038911
5.50746918	0.00035061
5.53131104	0.00023376
5.55515289	0.00043104
5.57899475	0.00025229
5.60283661	0.00075289
5.62667847	0.00081766
5.65052032	0.00240789
5.67436218	0.00150018
5.69820404	0.00028440
5.72204590	0.00059115
5.74588776	0.00063051
5.76972961	0.00050290
5.79357147	0.00042869
5.81741333	0.00012534
5.84125519	0.00032062
5.86509705	0.00029538
5.88893890	0.00054101
5.91278076	0.00025180
5.93662262	0.00095059
5.96046448	0.01599332
5.98430634	0.05691589
6.00814819	0.06669983
6.03199005	0.02703592
6.05583191	0.00193456
6.07967377	0.00035183
6.10351563	0.00054415
6.12735748	0.00056664
6.15119934	0.00025009
6.17504120	0.00032451
6.19888306	0.00026803
6.22272491	0.00056962
6.24656677	0.00029666
6.27040863	0.00080397
6.29425049	0.00112405
6.31809235	0.00249674
6.34193420	0.00409681
6.36577606	0.00242061
6.38961792	0.00057746
6.41345978	0.00044324
6.43730164	0.00022587
6.46114349	0.00036776
6.48498535	0.00034391
6.50882721	0.00051399
6.53266907	0.00030314
6.55651093	0.00055094
6.58035278	0.00041714
6.60419464	0.00080839
6.62803650	0.00074540
6.65187836	0.00097744
6.67572021	0.00066385
6.69956207	0.00090999
6.72340393	0.00052664
6.74724579	0.00047294
6.77108765	0.00048412
6.79492950	0.00050454
6.81877136	0.00019062
6.84261322	0.00049331
6.86645508	0.00038000
6.89029694	0.00053037
6.91413879	0.00039261
6.93798065	0.00101410
6.96182251	0.01351199
6.98566437	0.04340280
7.00950623	0.04781019
7.03334808	0.01815137
7.05718994	0.00120747
7.08103180	0.00050431
7.10487366	0.00039542
7.12871552	0.00058931
7.15255737	0.00027134
7.17639923	0.00033537
7.20024109	0.00026106
7.22408295	0.00060144
7.24792480	0.00037418
7.27176666	0.00044652
7.29560852	0.00145277
7.31945038	0.00309722
7.34329224	0.00423980
7.36713409	0.00242495
7.39097595	0.00056885
7.41481781	0.00057375
7.43865967	0.00020580
7.46250153	0.00035871
7.48634338	0.00039354
7.51018524	0.00044149
7.53402710	0.00018351
7.55786896	0.00043054
7.58171082	0.00038763
7.60555267	0.00082785
7.62939453	0.00094457
7.65323639	0.00047518
7.67707825	0.00140647
7.70092010	0.00146543
7.72476196	0.00064023
7.74860382	0.00060288
7.77244568	0.00007603
7.79628754	0.00037001
7.82012939	0.00028072
7.84397125	0.00046399
7.86781311	0.00038728
7.89165497	0.00029317
7.91549683	0.00030600
7.93933868	0.00111430
7.96318054	0.00993393
7.98702240	0.02876762
8.01086426	0.03000350
8.03470612	0.01108384
8.05854797	0.00098716
8.08238983	0.00067478
8.10623169	0.00020944
8.13007355	0.00034444
8.15391541	0.00021199
8.17775726	0.00032635
8.20159912	0.00021092
8.22544098	0.00029872
8.24928284	0.00035623
8.27312469	0.00069663
8.29696655	0.00212347
8.32080841	0.00374217
8.34465027	0.00438954
8.36849213	0.00227281
8.39233398	0.00039469
8.41617584	0.00051000
8.44001770	0.00032556
8.46385956	0.00064661
8.48770142	0.00034459
8.51154327	0.00049235
8.53538513	0.00048413
8.55922699	0.00050040
8.58306885	0.00050951
8.60691071	0.00062253
8.63075256	0.00148747
8.65459442	0.00205906
8.67843628	0.00244026
8.70227814	0.00178782
8.72612000	0.00043710
8.74996185	0.00049843
8.77380371	0.00024927
8.79764557	0.00043367
8.82148743	0.00033760
8.84532928	0.00042393
8.86917114	0.00019060
8.89301300	0.00034196
8.91685486	0.00061799
8.94069672	0.00095684
8.96453857	0.00576176
8.98838043	0.01412268
9.01222229	0.01376499
9.03606415	0.00503757
9.05990601	0.00064314
9.08374786	0.00087840
9.10758972	0.00040434
9.13143158	0.00042883
9.15527344	0.00025736
9.17911530	0.00024998
9.20295715	0.00033358
9.22679901	0.00045839
9.25064087	0.00046933
9.27448273	0.00067370
9.29832458	0.00225530
9.32216644	0.00361197
9.34600830	0.00380097
9.36985016	0.00199908
9.39369202	0.00035975
9.41753387	0.00046719
9.44137573	0.00045789
9.46521759	0.00065545
9.48905945	0.00034324
9.51290131	0.00026737
9.53674316	0.00028355
9.56058502	0.00032947
9.58442688	0.00044048
9.60826874	0.00057237
9.63211060	0.00212489
9.65595245	0.00347081
9.67979431	0.00329146
9.70363617	0.00198193
9.72747803	0.00049000
9.75131989	0.00032524
9.77516174	0.00009786
9.79900360	0.00042438
9.82284546	0.00026372
9.84668732	0.00023892
9.87052917	0.00033570
9.89437103	0.00042520
9.91821289	0.00056180
9.94205475	0.00066908
9.96589661	0.00124420
9.98973846	0.00065656
10.01358032	0.00069324
10.03742218	0.00108240
10.06126404	0.00040411
10.08510590	0.00052124
10.10894775	0.00029492
10.13278961	0.00039154
10.15663147	0.00030106
10.18047333	0.00034420
10.20431519	0.00026139
10.22815704	0.00018311
10.25199890	0.00034828
10.27584076	0.00059351
10.29968262	0.00229983
10.32352448	0.00320740
10.34736633	0.00284649
10.37120819	0.00160933
10.39505005	0.00049464
10.41889191	0.00054448
10.44273376	0.00029613
10.46657562	0.00052967
10.49041748	0.00045511
10.51425934	0.00041861
10.53810120	0.00054237
10.56194305	0.00031705
10.58578491	0.00054258
10.60962677	0.00052296
10.63346863	0.00288679
10.65731049	0.00460869
10.68115234	0.00364120
10.70499420	0.00177723
10.72883606	0.00059411
10.75267792	0.00073237
10.77651978	0.00050004
10.80036163	0.00032982
10.82420349	0.00028715
10.84804535	0.00036923
10.87188721	0.00039804
10.89572906	0.00016161
10.91957092	0.00053735
10.94341278	0.00006858
10.96725464	0.00381110
10.99109650	0.01109760
11.01493835	0.00956930
11.03878021	0.00191412
11.06262207	0.00061029
11.08646393	0.00074016
11.11030579	0.00037221
11.13414764	0.00029822
11.15798950	0.00020350
11.18183136	0.00032723
11.20567322	0.00048694
11.22951508	0.00021006
11.25335693	0.00054520
11.27719879	0.00063264
11.30104065	0.00216624
11.32488251	0.00249148
11.34872437	0.00170387
11.37256622	0.00119639
11.39640808	0.00053433
11.42024994	0.00034377
11.44409180	0.00025607
11.46793365	0.00042180
11.49177551	0.00033220
11.51561737	0.00024941
11.53945923	0.00035870
11.56330109	0.00021429
11.58714294	0.00055869
11.61098480	0.00070656
11.63482666	0.00337071
11.65866852	0.00525302
11.68251038	0.00363836
11.70635223	0.00156571
11.73019409	0.00035096
11.75403595	0.00036717
11.77787781	0.00033311
11.80171967	0.00051674
11.82556152	0.00046347
11.84940338	0.00021003
11.87324524	0.00041413
11.89708710	0.00031366
11.92092896	0.00056466
11.94477081	0.00054519
11.96861267	0.00822135
11.99245453	0.02044384
12.01629639	0.01660873
12.04013824	0.00344453
12.06398010	0.00065636
12.08782196	0.00044505
12.11166382	0.00031184
12.13550568	0.00023760
12.15934753	0.00027785
12.18318939	0.00013652
12.20703125	0.00023896
12.23087311	0.00017339
12.25471497	0.00061778
12.27855682	0.00054174
12.30239868	0.00155685
12.32624054	0.00133505
12.35008240	0.00040991
12.37392426	0.00077720
12.39776611	0.00068598
12.42160797	0.00067690
12.44544983	0.00044677
12.46929169	0.00017250
12.49313354	0.00032199
12.51697540	0.00029819
12.54081726	0.00046565
12.56465912	0.00018558
12.58850098	0.00052536
12.61234283	0.00079344
12.63618469	0.00365143
12.66002655	0.00533158
12.68386841	0.00323976
12.70771027	0.00126568
12.73155212	0.00056262
12.75539398	0.00039738
12.77923584	0.00040837
12.80307770	0.00041493
12.82691956	0.00039155
12.85076141	0.00022949
12.87460327	0.00054687
12.89844513	0.00029723
12.92228699	0.00055168
12.94612885	0.00110772
12.96997070	0.01166215
12.99381256	0.02661891
13.01765442	0.02062641
13.04149628	0.00442059
13.06533813	0.00050672
13.08917999	0.00031896
13.11302185	0.00045518
13.13686371	0.00040902
13.16070557	0.00041627
13.18454742	0.00013335
13.20838928	0.00036518
13.23223114	0.00038271
13.25607300	0.00080427
13.27991486	0.00053917
13.30375671	0.00095090
13.32759857	0.00053655
13.35144043	0.00090215
13.37528229	0.00069283
13.39912415	0.00064436
13.42296600	0.00041365
13.44680786	0.00043300
13.47064972	0.00028119
13.49449158	0.00040998
13.51833344	0.00022426
13.54217529	0.00054292
13.56601715	0.00031024
13.58985901	0.00043388
13.61370087	0.00071287
13.63754272	0.00354321
13.66138458	0.00502264
13.68522644	0.00259237
13.70906830	0.00085929
13.73291016	0.00053875
13.75675201	0.00036610
13.78059387	0.00039722
13.80443573	0.00027067
13.82827759	0.00039744
