Частота	Канал A
(kГц)	(В)

0.00000000	0.13139160
0.02384186	0.05563986
0.04768372	0.00959472
0.07152557	0.00083130
0.09536743	0.00049225
0.11920929	0.00035989
0.14305115	0.00017559
0.16689301	0.00021158
0.19073486	0.00033471
0.21457672	0.00047705
0.23841858	0.00052154
0.26226044	0.00076410
0.28610229	0.00082731
0.30994415	0.00102005
0.33378601	0.00065870
0.35762787	0.00056730
0.38146973	0.00062535
0.40531158	0.00053876
0.42915344	0.00074664
0.45299530	0.00033976
0.47683716	0.00010541
0.50067902	0.00025514
0.52452087	0.00036013
0.54836273	0.00035683
0.57220459	0.00056179
0.59604645	0.00068621
0.61988831	0.00085151
0.64373016	0.00104095
0.66757202	0.00086151
0.69141388	0.00064934
0.71525574	0.00078150
0.73909760	0.00065728
0.76293945	0.00027280
0.78678131	0.00034954
0.81062317	0.00039234
0.83446503	0.00019167
0.85830688	0.00037202
0.88214874	0.00053453
0.90599060	0.00058340
0.92983246	0.00083145
0.95367432	0.00700932
0.97751617	0.03571819
1.00135803	0.05608658
1.02519989	0.03175336
1.04904175	0.00532476
1.07288361	0.00079303
1.09672546	0.00050193
1.12056732	0.00050990
1.14440918	0.00024095
1.16825104	0.00028319
1.19209290	0.00031761
1.21593475	0.00049312
1.23977661	0.00045256
1.26361847	0.00053374
1.28746033	0.00093472
1.31130219	0.00133491
1.33514404	0.00049235
1.35898590	0.00050883
1.38282776	0.00077908
1.40666962	0.00059733
1.43051147	0.00063405
1.45435333	0.00037251
1.47819519	0.00040582
1.50203705	0.00039493
1.52587891	0.00030716
1.54972076	0.00016543
1.57356262	0.00063330
1.59740448	0.00072537
1.62124634	0.00078413
1.64508820	0.00156216
1.66893005	0.00142278
1.69277191	0.00042431
1.71661377	0.00060628
1.74045563	0.00068987
1.76429749	0.00037045
1.78813934	0.00027428
1.81198120	0.00022030
1.83582306	0.00023444
1.85966492	0.00043451
1.88350677	0.00063820
1.90734863	0.00070989
1.93119049	0.00067381
1.95503235	0.00784492
1.97887421	0.03743014
2.00271606	0.05544379
2.02655792	0.02949962
2.05039978	0.00433133
2.07424164	0.00053963
2.09808350	0.00037242
2.12192535	0.00037659
2.14576721	0.00028712
2.16960907	0.00022727
2.19345093	0.00020091
2.21729279	0.00043045
2.24113464	0.00051131
2.26497650	0.00083592
2.28881836	0.00125027
2.31266022	0.00176421
2.33650208	0.00102736
2.36034393	0.00047579
2.38418579	0.00070229
2.40802765	0.00064169
2.43186951	0.00043848
2.45571136	0.00043870
2.47955322	0.00047479
2.50339508	0.00023766
2.52723694	0.00013519
2.55107880	0.00034217
2.57492065	0.00061067
2.59876251	0.00073955
2.62260437	0.00095107
2.64644623	0.00222793
2.67028809	0.00214163
2.69412994	0.00059315
2.71797180	0.00041609
2.74181366	0.00061443
2.76565552	0.00054278
2.78949738	0.00029910
2.81333923	0.00043092
2.83718109	0.00022375
2.86102295	0.00010930
2.88486481	0.00017734
2.90870667	0.00049214
2.93254852	0.00085029
2.95639038	0.00905124
2.98023224	0.03902073
3.00407410	0.05436033
3.02791595	0.02711293
3.05175781	0.00347149
3.07559967	0.00043681
3.09944153	0.00041535
3.12328339	0.00066838
3.14712524	0.00057318
3.17096710	0.00037349
3.19480896	0.00022932
3.21865082	0.00050516
3.24249268	0.00041394
3.26633453	0.00067722
3.29017639	0.00125277
3.31401825	0.00190054
3.33786011	0.00131714
3.36170197	0.00111993
3.38554382	0.00099903
3.40938568	0.00061212
3.43322754	0.00051186
3.45706940	0.00049318
3.48091125	0.00042486
3.50475311	0.00018183
3.52859497	0.00016796
3.55243683	0.00031966
3.57627869	0.00051952
3.60012054	0.00066034
3.62396240	0.00126170
3.64780426	0.00284549
3.67164612	0.00231683
3.69548798	0.00050191
3.71932983	0.00044124
3.74317169	0.00039065
3.76701355	0.00051898
3.79085541	0.00054348
3.81469727	0.00050653
3.83853912	0.00019571
3.86238098	0.00020542
3.88622284	0.00042339
3.91006470	0.00061956
3.93390656	0.00059696
3.95774841	0.00977239
3.98159027	0.03999102
4.00543213	0.05269516
4.02927399	0.02472375
4.05311584	0.00308036
4.07695770	0.00072883
4.10079956	0.00052844
4.12464142	0.00038719
4.14848328	0.00029199
4.17232513	0.00033929
4.19616699	0.00016941
4.22000885	0.00025047
4.24385071	0.00054943
4.26769257	0.00095856
4.29153442	0.00156765
4.31537628	0.00214707
4.33921814	0.00167716
4.36306000	0.00113994
4.38690186	0.00057885
4.41074371	0.00060530
4.43458557	0.00056181
4.45842743	0.00022824
4.48226929	0.00031672
4.50611115	0.00033372
4.52995300	0.00019976
4.55379486	0.00033330
4.57763672	0.00053867
4.60147858	0.00091850
4.62532043	0.00134520
4.64916229	0.00308913
4.67300415	0.00254268
4.69684601	0.00068334
4.72068787	0.00038464
4.74452972	0.00037385
4.76837158	0.00035466
4.79221344	0.00032075
4.81605530	0.00029896
4.83989716	0.00018172
4.86373901	0.00026291
4.88758087	0.00030754
4.91142273	0.00051597
4.93526459	0.00078392
4.95910645	0.01069524
4.98294830	0.04061925
5.00679016	0.05055965
5.03063202	0.02215376
5.05447388	0.00234106
5.07831573	0.00056381
5.10215759	0.00060999
5.12599945	0.00061679
5.14984131	0.00048703
5.17368317	0.00033284
5.19752502	0.00014818
5.22136688	0.00019971
5.24520874	0.00041828
5.26905060	0.00071871
5.29289246	0.00173729
5.31673431	0.00247928
5.34057617	0.00211847
5.36441803	0.00136248
5.38825989	0.00043758
5.41210175	0.00043682
5.43594360	0.00057896
5.45978546	0.00053572
5.48362732	0.00039936
5.50746918	0.00029870
5.53131104	0.00020249
5.55515289	0.00040925
5.57899475	0.00059613
5.60283661	0.00090098
5.62667847	0.00155558
5.65052032	0.00369601
5.67436218	0.00289457
5.69820404	0.00088816
5.72204590	0.00066304
5.74588776	0.00046387
5.76972961	0.00034600
5.79357147	0.00047468
5.81741333	0.00044273
5.84125519	0.00020128
5.86509705	0.00029064
5.88893890	0.00034048
5.91278076	0.00049715
5.93662262	0.00078371
5.96046448	0.01156447
5.98430634	0.04107272
6.00814819	0.04830775
6.03199005	0.01987629
6.05583191	0.00194216
6.07967377	0.00061174
6.10351563	0.00059312
6.12735748	0.00057246
6.15119934	0.00039477
6.17504120	0.00017150
6.19888306	0.00011105
6.22272491	0.00012937
6.24656677	0.00045354
6.27040863	0.00091000
6.29425049	0.00203958
6.31809235	0.00276574
6.34193420	0.00258995
6.36577606	0.00171237
6.38961792	0.00064066
6.41345978	0.00062287
6.43730164	0.00057429
6.46114349	0.00043964
6.48498535	0.00029414
6.50882721	0.00031111
6.53266907	0.00032602
6.55651093	0.00051737
6.58035278	0.00048804
6.60419464	0.00075384
6.62803650	0.00184519
6.65187836	0.00408566
6.67572021	0.00305061
6.69956207	0.00110331
6.72340393	0.00060518
6.74724579	0.00044530
6.77108765	0.00064031
6.79492950	0.00043623
6.81877136	0.00037578
6.84261322	0.00027949
6.86645508	0.00024638
6.89029694	0.00028082
6.91413879	0.00058154
6.93798065	0.00117137
6.96182251	0.01282338
6.98566437	0.04128947
7.00950623	0.04549968
7.03334808	0.01723712
7.05718994	0.00129951
7.08103180	0.00047809
7.10487366	0.00056047
7.12871552	0.00047600
7.15255737	0.00063255
7.17639923	0.00038662
7.20024109	0.00019010
7.22408295	0.00015920
7.24792480	0.00038843
7.27176666	0.00080725
7.29560852	0.00212122
7.31945038	0.00296676
7.34329224	0.00293877
7.36713409	0.00164920
7.39097595	0.00041230
7.41481781	0.00041029
7.43865967	0.00028651
7.46250153	0.00051096
7.48634338	0.00046521
7.51018524	0.00031054
7.53402710	0.00014607
7.55786896	0.00024080
7.58171082	0.00042236
7.60555267	0.00101753
7.62939453	0.00250202
7.65323639	0.00455855
7.67707825	0.00320571
7.70092010	0.00135606
7.72476196	0.00058089
7.74860382	0.00003669
7.77244568	0.00046107
7.79628754	0.00063521
7.82012939	0.00047505
7.84397125	0.00028124
7.86781311	0.00009628
7.89165497	0.00018988
7.91549683	0.00074081
7.93933868	0.00164581
7.96318054	0.01365924
7.98702240	0.04086984
8.01086426	0.04261183
8.03470612	0.01513870
8.05854797	0.00111888
8.08238983	0.00028576
8.10623169	0.00036321
8.13007355	0.00043556
8.15391541	0.00057609
8.17775726	0.00028909
8.20159912	0.00028379
8.22544098	0.00033127
8.24928284	0.00049988
8.27312469	0.00084994
8.29696655	0.00216629
8.32080841	0.00308288
8.34465027	0.00324233
8.36849213	0.00186219
8.39233398	0.00045321
8.41617584	0.00052830
8.44001770	0.00062611
8.46385956	0.00052335
8.48770142	0.00036257
8.51154327	0.00047060
8.53538513	0.00032370
8.55922699	0.00036154
8.58306885	0.00034516
8.60691071	0.00059725
8.63075256	0.00278108
8.65459442	0.00490503
8.67843628	0.00328097
8.70227814	0.00148902
8.72612000	0.00077033
8.74996185	0.00046311
8.77380371	0.00058008
8.79764557	0.00056954
8.82148743	0.00031960
8.84532928	0.00013921
8.86917114	0.00021321
8.89301300	0.00024567
8.91685486	0.00056157
8.94069672	0.00151289
8.96453857	0.01399194
8.98838043	0.03983352
9.01222229	0.03934915
9.03606415	0.01290222
9.05990601	0.00074893
9.08374786	0.00045256
9.10758972	0.00052557
9.13143158	0.00029261
9.15527344	0.00038526
9.17911530	0.00036739
9.20295715	0.00042305
9.22679901	0.00021497
9.25064087	0.00039902
9.27448273	0.00071366
9.29832458	0.00226410
9.32216644	0.00343712
9.34600830	0.00376961
9.36985016	0.00209573
9.39369202	0.00059425
9.41753387	0.00045852
9.44137573	0.00038894
9.46521759	0.00054581
9.48905945	0.00058008
9.51290131	0.00051053
9.53674316	0.00018460
9.56058502	0.00023926
9.58442688	0.00046596
9.60826874	0.00068086
9.63211060	0.00306050
9.65595245	0.00516291
9.67979431	0.00344441
9.70363617	0.00141069
9.72747803	0.00042373
9.75131989	0.00040160
9.77516174	0.00052187
9.79900360	0.00058373
9.82284546	0.00039287
9.84668732	0.00022255
9.87052917	0.00009852
9.89437103	0.00026616
9.91821289	0.00052270
9.94205475	0.00170089
9.96589661	0.01459717
9.98973846	0.03883803
10.01358032	0.03616346
10.03742218	0.01102057
10.06126404	0.00072397
10.08510590	0.00035165
10.10894775	0.00040346
10.13278961	0.00033966
10.15663147	0.00045100
10.18047333	0.00016852
10.20431519	0.00018186
10.22815704	0.00020056
10.25199890	0.00045655
10.27584076	0.00075714
10.29968262	0.00226097
10.32352448	0.00333547
10.34736633	0.00357487
10.37120819	0.00180384
10.39505005	0.00062528
10.41889191	0.00037674
10.44273376	0.00026050
10.46657562	0.00040434
10.49041748	0.00041350
10.51425934	0.00047646
10.53810120	0.00047242
10.56194305	0.00035662
10.58578491	0.00034426
10.60962677	0.00090722
10.63346863	0.00338562
10.65731049	0.00529021
10.68115234	0.00339750
10.70499420	0.00142462
10.72883606	0.00036097
10.75267792	0.00027905
10.77651978	0.00039586
10.80036163	0.00048833
10.82420349	0.00040057
10.84804535	0.00047554
10.87188721	0.00035454
10.89572906	0.00018733
10.91957092	0.00020754
10.94341278	0.00171577
10.96725464	0.01504824
10.99109650	0.03725221
11.01493835	0.03253609
11.03878021	0.00893452
11.06262207	0.00031458
11.08646393	0.00030205
11.11030579	0.00048085
11.13414764	0.00034612
11.15798950	0.00051413
11.18183136	0.00034210
11.20567322	0.00031073
11.22951508	0.00021695
11.25335693	0.00043384
11.27719879	0.00094887
11.30104065	0.00232239
11.32488251	0.00341406
11.34872437	0.00374117
11.37256622	0.00171696
11.39640808	0.00040156
11.42024994	0.00031003
11.44409180	0.00026627
11.46793365	0.00036490
11.49177551	0.00052538
11.51561737	0.00045836
11.53945923	0.00032302
11.56330109	0.00010129
11.58714294	0.00027081
11.61098480	0.00076594
11.63482666	0.00345219
11.65866852	0.00533733
11.68251038	0.00357057
11.70635223	0.00160053
11.73019409	0.00035967
11.75403595	0.00034697
11.77787781	0.00041356
11.80171967	0.00048373
11.82556152	0.00046242
11.84940338	0.00060234
11.87324524	0.00035840
11.89708710	0.00030585
11.92092896	0.00027677
11.94477081	0.00176983
11.96861267	0.01512360
11.99245453	0.03542711
12.01629639	0.02938243
12.04013824	0.00757721
12.06398010	0.00048402
12.08782196	0.00037232
12.11166382	0.00055327
12.13550568	0.00040956
12.15934753	0.00032525
12.18318939	0.00048172
12.20703125	0.00051340
12.23087311	0.00041514
12.25471497	0.00055982
12.27855682	0.00092461
12.30239868	0.00240288
12.32624054	0.00360386
12.35008240	0.00388420
12.37392426	0.00180491
12.39776611	0.00058656
12.42160797	0.00026354
12.44544983	0.00034703
12.46929169	0.00035278
12.49313354	0.00026391
12.51697540	0.00031076
12.54081726	0.00014866
12.56465912	0.00014309
12.58850098	0.00051712
12.61234283	0.00106726
12.63618469	0.00372064
12.66002655	0.00527943
12.68386841	0.00355407
12.70771027	0.00174675
12.73155212	0.00061236
12.75539398	0.00039040
12.77923584	0.00025484
12.80307770	0.00049549
12.82691956	0.00059952
12.85076141	0.00067830
12.87460327	0.00036475
12.89844513	0.00031309
12.92228699	0.00043391
12.94612885	0.00214056
12.96997070	0.01518028
12.99381256	0.03307705
13.01765442	0.02569236
13.04149628	0.00593026
13.06533813	0.00051294
13.08917999	0.00008027
13.11302185	0.00008022
13.13686371	0.00031445
13.16070557	0.00047943
13.18454742	0.00039803
13.20838928	0.00040908
13.23223114	0.00030755
13.25607300	0.00036954
13.27991486	0.00103033
13.30375671	0.00232217
13.32759857	0.00365306
13.35144043	0.00390881
13.37528229	0.00165274
13.39912415	0.00044314
13.42296600	0.00018896
13.44680786	0.00045465
13.47064972	0.00050844
13.49449158	0.00046995
13.51833344	0.00033521
13.54217529	0.00020108
13.56601715	0.00016101
13.58985901	0.00042271
13.61370087	0.00095601
13.63754272	0.00367506
13.66138458	0.00497686
13.68522644	0.00327544
13.70906830	0.00159537
13.73291016	0.00053476
13.75675201	0.00036302
13.78059387	0.00024357
13.80443573	0.00039512
13.82827759	0.00043746
