Частота	A * B
(kГц)	(?)

0.00000000	2.43513600
0.02384186	1.01334600
0.04768372	0.17433860
0.07152557	0.05435681
0.09536743	0.02675931
0.11920929	0.05173143
0.14305115	0.10918240
0.16689301	0.11714330
0.19073486	0.06729822
0.21457672	0.13186030
0.23841858	0.16701750
0.26226044	0.10870290
0.28610229	0.08153243
0.30994415	0.18511840
0.33378601	0.36257630
0.35762787	0.36532560
0.38146973	0.27174350
0.40531158	0.15912430
0.42915344	0.02336595
0.45299530	0.07719999
0.47683716	0.08836770
0.50067902	0.06331297
0.52452087	0.09728832
0.54836273	0.08480379
0.57220459	0.00780399
0.59604645	0.14933430
0.61988831	0.31682200
0.64373016	0.54788920
0.66757202	0.51802180
0.69141388	0.22456860
0.71525574	0.05819443
0.73909760	0.08810132
0.76293945	0.17130750
0.78678131	0.12447430
0.81062317	0.06521294
0.83446503	0.12078070
0.85830688	0.09639404
0.88214874	0.03908721
0.90599060	0.03092811
0.92983246	0.04007852
0.95367432	0.01837554
0.97751617	0.16397730
1.00135803	0.32143520
1.02519989	0.25485910
1.04904175	0.14183870
1.07288361	0.05579806
1.09672546	0.03074558
1.12056732	0.05183905
1.14440918	0.09088575
1.16825104	0.09381212
1.19209290	0.06776638
1.21593475	0.12838140
1.23977661	0.14887260
1.26361847	0.11817510
1.28746033	0.08565910
1.31130219	0.14668120
1.33514404	0.21268650
1.35898590	0.22645720
1.38282776	0.26703070
1.40666962	0.16520740
1.43051147	0.03341856
1.45435333	0.07386012
1.47819519	0.08547409
1.50203705	0.05976417
1.52587891	0.08070470
1.54972076	0.06913634
1.57356262	0.01666456
1.59740448	0.13896160
1.62124634	0.37405080
1.64508820	0.73949610
1.66893005	0.66003780
1.69277191	0.25083630
1.71661377	0.07351577
1.74045563	0.10087710
1.76429749	0.17583060
1.78813934	0.11909540
1.81198120	0.07175227
1.83582306	0.14083950
1.85966492	0.11339620
1.88350677	0.03664042
1.90734863	0.02301254
1.93119049	0.02493393
1.95503235	0.06061427
1.97887421	0.35563200
2.00271606	0.56000370
2.02655792	0.41299780
2.05039978	0.21406630
2.07424164	0.06308809
2.09808350	0.02506630
2.12192535	0.06395944
2.14576721	0.08768884
2.16960907	0.08318317
2.19345093	0.07865407
2.21729279	0.13302190
2.24113464	0.14429960
2.26497650	0.15333070
2.28881836	0.11542430
2.31266022	0.11362190
2.33650208	0.08249169
2.36034393	0.14861080
2.38418579	0.24890990
2.40802765	0.15677870
2.43186951	0.05489503
2.45571136	0.07117374
2.47955322	0.07480736
2.50339508	0.04772563
2.52723694	0.06927989
2.55107880	0.06926951
2.57492065	0.04471470
2.59876251	0.11804560
2.62260437	0.44027350
2.64644623	0.92460880
2.67028809	0.78122270
2.69412994	0.26618080
2.71797180	0.08651621
2.74181366	0.11014330
2.76565552	0.16306310
2.78949738	0.10855520
2.81333923	0.05331682
2.83718109	0.10886250
2.86102295	0.08549955
2.88486481	0.02380931
2.90870667	0.02940108
2.93254852	0.00834753
2.95639038	0.13602400
2.98023224	0.53143500
3.00407410	0.76329590
3.02791595	0.51712360
3.05175781	0.21915570
3.07559967	0.05365445
3.09944153	0.02782518
3.12328339	0.05672938
3.14712524	0.07191581
