Частота	A * B
(kГц)	(?)

0.00000000	0.31406750
0.02384186	0.13023710
0.04768372	0.03514206
0.07152557	0.05272238
0.09536743	0.05769293
0.11920929	0.03841214
0.14305115	0.03838800
0.16689301	0.05565415
0.19073486	0.04904066
0.21457672	0.03233256
0.23841858	0.04165819
0.26226044	0.05285081
0.28610229	0.03645049
0.30994415	0.02963673
0.33378601	0.04296606
0.35762787	0.04297239
0.38146973	0.02279292
0.40531158	0.02942630
0.42915344	0.03930056
0.45299530	0.02565815
0.47683716	0.01433431
0.50067902	0.02806977
0.52452087	0.02880347
0.54836273	0.01110118
0.57220459	0.01893982
0.59604645	0.01975586
0.61988831	0.03779833
0.64373016	0.04865966
0.66757202	0.02477316
0.69141388	0.06039893
0.71525574	0.18354960
0.73909760	0.16508760
0.76293945	0.08688931
0.78678131	0.28558020
0.81062317	0.47723720
0.83446503	0.28722050
0.85830688	0.05009932
0.88214874	0.11079090
0.90599060	0.12573850
0.92983246	0.04462829
0.95367432	0.03759483
0.97751617	0.07352282
1.00135803	0.05570839
1.02519989	0.00513593
1.04904175	0.03514778
1.07288361	0.04586621
1.09672546	0.02095550
1.12056732	0.01666242
1.14440918	0.02544942
1.16825104	0.02617102
1.19209290	0.02480358
1.21593475	0.02217763
1.23977661	0.01044816
1.26361847	0.03880620
1.28746033	0.04214617
1.31130219	0.01896250
1.33514404	0.03202006
1.35898590	0.07475111
1.38282776	0.05592636
1.40666962	0.01853792
1.43051147	0.09988332
1.45435333	0.13455760
1.47819519	0.06601816
1.50203705	0.18008280
1.52587891	0.49257340
1.54972076	0.44870700
1.57356262	0.15159890
1.59740448	0.11740540
1.62124634	0.19681120
1.64508820	0.11612700
1.66893005	0.00111583
1.69277191	0.04432255
1.71661377	0.04965237
1.74045563	0.02265333
1.76429749	0.02104800
1.78813934	0.01259429
1.81198120	0.02318585
1.83582306	0.02958736
1.85966492	0.02115819
1.88350677	0.01265556
1.90734863	0.03731377
1.93119049	0.03452113
1.95503235	0.02168327
1.97887421	0.03359789
2.00271606	0.04742297
2.02655792	0.03448906
2.05039978	0.02872677
2.07424164	0.04978285
2.09808350	0.05041567
2.12192535	0.03342351
2.14576721	0.04070798
2.16960907	0.06065833
2.19345093	0.04828122
2.21729279	0.03514151
2.24113464	0.05573011
2.26497650	0.06762145
2.28881836	0.04425490
2.31266022	0.07382233
2.33650208	0.20271960
2.36034393	0.18635420
2.38418579	0.05524722
2.40802765	0.03965259
2.43186951	0.05152000
2.45571136	0.04234974
2.47955322	0.03409043
2.50339508	0.04625783
2.52723694	0.05257012
2.55107880	0.03667351
2.57492065	0.03476899
2.59876251	0.04917840
2.62260437	0.04478924
2.64644623	0.02943653
2.67028809	0.03647409
2.69412994	0.04621664
2.71797180	0.03102254
2.74181366	0.02525297
2.76565552	0.03643805
2.78949738	0.03554788
2.81333923	0.01339968
2.83718109	0.02450902
2.86102295	0.03097197
2.88486481	0.01956217
2.90870667	0.01146464
2.93254852	0.02170649
2.95639038	0.02606930
2.98023224	0.04602633
3.00407410	0.03659616
3.02791595	0.01443712
3.05175781	0.14050500
3.07559967	0.19765920
3.09944153	0.10220480
3.12328339	0.15617460
3.14712524	0.39033810
