Частота	Канал A
(kГц)	(В)

0.00000000	0.44920440
0.02384186	0.18897720
0.04768372	0.03028669
0.07152557	0.00072709
0.09536743	0.00054262
0.11920929	0.00054409
0.14305115	0.00071887
0.16689301	0.00059519
0.19073486	0.00032563
0.21457672	0.00038029
0.23841858	0.00051955
0.26226044	0.00074939
0.28610229	0.00055129
0.30994415	0.00105459
0.33378601	0.00372235
0.35762787	0.00382408
0.38146973	0.00159897
0.40531158	0.00059787
0.42915344	0.00046347
0.45299530	0.00051998
0.47683716	0.00044381
0.50067902	0.00024745
0.52452087	0.00034045
0.54836273	0.00051649
0.57220459	0.00069767
0.59604645	0.00047768
0.61988831	0.00149992
0.64373016	0.00393880
0.66757202	0.00358716
0.69141388	0.00163137
0.71525574	0.00096167
0.73909760	0.00066664
0.76293945	0.00085502
0.78678131	0.00058953
0.81062317	0.00021336
0.83446503	0.00034768
0.85830688	0.00061356
0.88214874	0.00075569
0.90599060	0.00059187
0.92983246	0.00080287
0.95367432	0.02927017
0.97751617	0.16559410
1.00135803	0.26200950
1.02519989	0.14680890
1.04904175	0.02153859
1.07288361	0.00088596
1.09672546	0.00054027
1.12056732	0.00041723
1.14440918	0.00042829
1.16825104	0.00036813
1.19209290	0.00028891
1.21593475	0.00031547
1.23977661	0.00048087
1.26361847	0.00085689
1.28746033	0.00094887
1.31130219	0.00153155
1.33514404	0.00259760
1.35898590	0.00224203
1.38282776	0.00120659
1.40666962	0.00078852
1.43051147	0.00038362
1.45435333	0.00045373
1.47819519	0.00037846
1.50203705	0.00038469
1.52587891	0.00020075
1.54972076	0.00021258
1.57356262	0.00059269
1.59740448	0.00094667
1.62124634	0.00159063
1.64508820	0.00278725
1.66893005	0.00253597
1.69277191	0.00215254
1.71661377	0.00131588
1.74045563	0.00057762
1.76429749	0.00078198
1.78813934	0.00072670
1.81198120	0.00060725
1.83582306	0.00045511
1.85966492	0.00050610
1.88350677	0.00060420
1.90734863	0.00057863
1.93119049	0.00063756
1.95503235	0.02677427
1.97887421	0.14104880
2.00271606	0.21075740
2.02655792	0.11109650
2.05039978	0.01459915
2.07424164	0.00055151
2.09808350	0.00054184
2.12192535	0.00055669
2.14576721	0.00031552
2.16960907	0.00048904
2.19345093	0.00063859
2.21729279	0.00046703
2.24113464	0.00036228
2.26497650	0.00069725
2.28881836	0.00165435
2.31266022	0.00214105
2.33650208	0.00095096
2.36034393	0.00037904
2.38418579	0.00094680
2.40802765	0.00068407
2.43186951	0.00040044
2.45571136	0.00021258
2.47955322	0.00030550
2.50339508	0.00050007
2.52723694	0.00038247
2.55107880	0.00040458
2.57492065	0.00067030
2.59876251	0.00098992
2.62260437	0.00112706
2.64644623	0.00035014
2.67028809	0.00118577
2.69412994	0.00202121
2.71797180	0.00128590
2.74181366	0.00055859
2.76565552	0.00043349
2.78949738	0.00044034
2.81333923	0.00053184
2.83718109	0.00037536
2.86102295	0.00043514
2.88486481	0.00064119
2.90870667	0.00054021
2.93254852	0.00048515
2.95639038	0.02053704
2.98023224	0.09888895
3.00407410	0.13932930
3.02791595	0.06916471
3.05175781	0.00825988
3.07559967	0.00039122
3.09944153	0.00036292
3.12328339	0.00045639
3.14712524	0.00026960
3.17096710	0.00034360
3.19480896	0.00060689
3.21865082	0.00074077
3.24249268	0.00063766
3.26633453	0.00061007
3.29017639	0.00160763
3.31401825	0.00214214
3.33786011	0.00248836
3.36170197	0.00214295
3.38554382	0.00101845
3.40938568	0.00077111
3.43322754	0.00061939
3.45706940	0.00017768
3.48091125	0.00009158
3.50475311	0.00036774
3.52859497	0.00067577
3.55243683	0.00047482
3.57627869	0.00033727
3.60012054	0.00099233
3.62396240	0.00179061
3.64780426	0.00275507
3.67164612	0.00230209
3.69548798	0.00130053
3.71932983	0.00116946
3.74317169	0.00092817
3.76701355	0.00041477
3.79085541	0.00036338
3.81469727	0.00043918
3.83853912	0.00051863
3.86238098	0.00030638
3.88622284	0.00030205
3.91006470	0.00061851
3.93390656	0.00084574
3.95774841	0.01109160
3.98159027	0.04834100
4.00543213	0.06392150
4.02927399	0.02969361
4.05311584	0.00321301
4.07695770	0.00046472
4.10079956	0.00031804
4.12464142	0.00039742
4.14848328	0.00043909
4.17232513	0.00021737
4.19616699	0.00018383
4.22000885	0.00065490
4.24385071	0.00089155
4.26769257	0.00087382
4.29153442	0.00126114
4.31537628	0.00209278
4.33921814	0.00391580
4.36306000	0.00309376
4.38690186	0.00085981
4.41074371	0.00047911
4.43458557	0.00064728
4.45842743	0.00061854
4.48226929	0.00033368
4.50611115	0.00014407
4.52995300	0.00043025
4.55379486	0.00053397
4.57763672	0.00050451
4.60147858	0.00079388
4.62532043	0.00226398
4.64916229	0.00435524
4.67300415	0.00310720
4.69684601	0.00034346
4.72068787	0.00086990
4.74452972	0.00087543
4.76837158	0.00049035
4.79221344	0.00017222
4.81605530	0.00012550
4.83989716	0.00043395
4.86373901	0.00042352
4.88758087	0.00032516
4.91142273	0.00053154
4.93526459	0.00077118
4.95910645	0.00126352
4.98294830	0.00093573
5.00679016	0.00022208
5.03063202	0.00118190
5.05447388	0.00109900
5.07831573	0.00064734
5.10215759	0.00037663
5.12599945	0.00044807
5.14984131	0.00066076
5.17368317	0.00051106
5.19752502	0.00041922
5.22136688	0.00055756
5.24520874	0.00061053
5.26905060	0.00074412
5.29289246	0.00021204
5.31673431	0.00172759
5.34057617	0.00376304
5.36441803	0.00280305
5.38825989	0.00098918
5.41210175	0.00038292
5.43594360	0.00031314
5.45978546	0.00042015
5.48362732	0.00034562
5.50746918	0.00021263
5.53131104	0.00031835
5.55515289	0.00066267
5.57899475	0.00093739
5.60283661	0.00092054
5.62667847	0.00262364
5.65052032	0.00469892
5.67436218	0.00322341
5.69820404	0.00140444
5.72204590	0.00088019
5.74588776	0.00059020
5.76972961	0.00051872
5.79357147	0.00028446
5.81741333	0.00016221
5.84125519	0.00030143
5.86509705	0.00044807
5.88893890	0.00061812
5.91278076	0.00053828
5.93662262	0.00100819
5.96046448	0.00952260
5.98430634	0.03497372
6.00814819	0.04128776
6.03199005	0.01683174
6.05583191	0.00180683
6.07967377	0.00077451
6.10351563	0.00039518
6.12735748	0.00032956
6.15119934	0.00047571
6.17504120	0.00055520
6.19888306	0.00052619
6.22272491	0.00036758
6.24656677	0.00068424
6.27040863	0.00103256
6.29425049	0.00131009
6.31809235	0.00177876
6.34193420	0.00255457
6.36577606	0.00194207
6.38961792	0.00108663
6.41345978	0.00057934
6.43730164	0.00035651
6.46114349	0.00052048
6.48498535	0.00053426
6.50882721	0.00043778
6.53266907	0.00025598
6.55651093	0.00055164
6.58035278	0.00087844
6.60419464	0.00093181
6.62803650	0.00165033
6.65187836	0.00283428
6.67572021	0.00244816
6.69956207	0.00217534
6.72340393	0.00106837
6.74724579	0.00035618
6.77108765	0.00037387
6.79492950	0.00041380
6.81877136	0.00023999
6.84261322	0.00006013
6.86645508	0.00030823
6.89029694	0.00049858
6.91413879	0.00026619
6.93798065	0.00036162
6.96182251	0.01433396
6.98566437	0.05007327
7.00950623	0.05600915
7.03334808	0.02143826
7.05718994	0.00183590
7.08103180	0.00073352
7.10487366	0.00047331
7.12871552	0.00037057
7.15255737	0.00036591
7.17639923	0.00059825
7.20024109	0.00054906
7.22408295	0.00033076
7.24792480	0.00046030
7.27176666	0.00100049
7.29560852	0.00203206
7.31945038	0.00201186
7.34329224	0.00051888
7.36713409	0.00072871
7.39097595	0.00100292
7.41481781	0.00075973
7.43865967	0.00048642
7.46250153	0.00032005
7.48634338	0.00044988
7.51018524	0.00055857
7.53402710	0.00044464
7.55786896	0.00055238
7.58171082	0.00078278
7.60555267	0.00116255
7.62939453	0.00101666
7.65323639	0.00013265
7.67707825	0.00157979
7.70092010	0.00195802
7.72476196	0.00116108
7.74860382	0.00068768
7.77244568	0.00054700
7.79628754	0.00062453
7.82012939	0.00058857
7.84397125	0.00039633
7.86781311	0.00040205
7.89165497	0.00059663
7.91549683	0.00063038
7.93933868	0.00003552
7.96318054	0.01395705
7.98702240	0.04527583
8.01086426	0.04777757
8.03470612	0.01711930
8.05854797	0.00138918
8.08238983	0.00054263
8.10623169	0.00054844
8.13007355	0.00055860
8.15391541	0.00047451
8.17775726	0.00043740
8.20159912	0.00054642
8.22544098	0.00069032
8.24928284	0.00053712
8.27312469	0.00092886
8.29696655	0.00222108
8.32080841	0.00245035
8.34465027	0.00260028
8.36849213	0.00177093
8.39233398	0.00088374
8.41617584	0.00079247
8.44001770	0.00057303
8.46385956	0.00023296
8.48770142	0.00030419
8.51154327	0.00051103
8.53538513	0.00060097
8.55922699	0.00042718
8.58306885	0.00062810
8.60691071	0.00123673
8.63075256	0.00215237
8.65459442	0.00302830
8.67843628	0.00217871
8.70227814	0.00144890
8.72612000	0.00115722
8.74996185	0.00069891
8.77380371	0.00032750
8.79764557	0.00029805
8.82148743	0.00028322
8.84532928	0.00046588
8.86917114	0.00025439
8.89301300	0.00038681
8.91685486	0.00072489
8.94069672	0.00080066
8.96453857	0.00858406
8.98838043	0.02560587
9.01222229	0.02549904
9.03606415	0.00862628
9.05990601	0.00112890
9.08374786	0.00053113
9.10758972	0.00057036
9.13143158	0.00052711
9.15527344	0.00044384
9.17911530	0.00024770
9.20295715	0.00041588
9.22679901	0.00081330
9.25064087	0.00087638
9.27448273	0.00094209
9.29832458	0.00128468
9.32216644	0.00243770
9.34600830	0.00387407
9.36985016	0.00236549
9.39369202	0.00063234
9.41753387	0.00052528
9.44137573	0.00050605
9.46521759	0.00039461
9.48905945	0.00025548
9.51290131	0.00041860
9.53674316	0.00068726
9.56058502	0.00056973
9.58442688	0.00053534
9.60826874	0.00115417
9.63211060	0.00326475
9.65595245	0.00475400
9.67979431	0.00252062
9.70363617	0.00011717
9.72747803	0.00085964
9.75131989	0.00085357
9.77516174	0.00061199
9.79900360	0.00030169
9.82284546	0.00040610
9.84668732	0.00054961
9.87052917	0.00029977
9.89437103	0.00023672
9.91821289	0.00056980
9.94205475	0.00117123
9.96589661	0.00154619
9.98973846	0.00066802
10.01358032	0.00065143
10.03742218	0.00129452
10.06126404	0.00094983
10.08510590	0.00059792
10.10894775	0.00028201
10.13278961	0.00039968
10.15663147	0.00053035
10.18047333	0.00030815
10.20431519	0.00027564
10.22815704	0.00060840
10.25199890	0.00073947
10.27584076	0.00084796
10.29968262	0.00020184
10.32352448	0.00233127
10.34736633	0.00390216
10.37120819	0.00243843
10.39505005	0.00084362
10.41889191	0.00030781
10.44273376	0.00038096
10.46657562	0.00057069
10.49041748	0.00029023
10.51425934	0.00015435
10.53810120	0.00044346
10.56194305	0.00072753
10.58578491	0.00073730
10.60962677	0.00093963
10.63346863	0.00334783
10.65731049	0.00483815
10.68115234	0.00267257
10.70499420	0.00110979
10.72883606	0.00049982
10.75267792	0.00049429
10.77651978	0.00069941
10.80036163	0.00047284
10.82420349	0.00043392
10.84804535	0.00059185
10.87188721	0.00068406
10.89572906	0.00064876
10.91957092	0.00057247
10.94341278	0.00130939
10.96725464	0.00846930
10.99109650	0.02210743
11.01493835	0.01968931
11.03878021	0.00575698
11.06262207	0.00082584
11.08646393	0.00071103
11.11030579	0.00041780
11.13414764	0.00041094
11.15798950	0.00052604
11.18183136	0.00064572
11.20567322	0.00046346
11.22951508	0.00030789
11.25335693	0.00072320
11.27719879	0.00109522
11.30104065	0.00141721
11.32488251	0.00185528
11.34872437	0.00228597
11.37256622	0.00157342
11.39640808	0.00106122
11.42024994	0.00054921
11.44409180	0.00039562
11.46793365	0.00049782
11.49177551	0.00041880
11.51561737	0.00028175
11.53945923	0.00029185
11.56330109	0.00063252
11.58714294	0.00067740
11.61098480	0.00089996
11.63482666	0.00232907
11.65866852	0.00318259
11.68251038	0.00245023
11.70635223	0.00198342
11.73019409	0.00075120
11.75403595	0.00040484
11.77787781	0.00055272
11.80171967	0.00049659
11.82556152	0.00041031
11.84940338	0.00032515
11.87324524	0.00053069
11.89708710	0.00066617
11.92092896	0.00060759
11.94477081	0.00097923
11.96861267	0.01371368
11.99245453	0.03345320
12.01629639	0.02809015
12.04013824	0.00771533
12.06398010	0.00079362
12.08782196	0.00067992
12.11166382	0.00058963
12.13550568	0.00048310
12.15934753	0.00028422
12.18318939	0.00038809
12.20703125	0.00040923
12.23087311	0.00041305
12.25471497	0.00067746
12.27855682	0.00132407
12.30239868	0.00239976
12.32624054	0.00192298
12.35008240	0.00031227
12.37392426	0.00083964
12.39776611	0.00093836
12.42160797	0.00066837
12.44544983	0.00042183
12.46929169	0.00037806
12.49313354	0.00055181
12.51697540	0.00058881
12.54081726	0.00053393
12.56465912	0.00062852
12.58850098	0.00084776
12.61234283	0.00115401
12.63618469	0.00065307
12.66002655	0.00065490
12.68386841	0.00187218
12.70771027	0.00173828
12.73155212	0.00100921
12.75539398	0.00065552
12.77923584	0.00065806
12.80307770	0.00075313
12.82691956	0.00061791
12.85076141	0.00048212
12.87460327	0.00040861
12.89844513	0.00054947
12.92228699	0.00080018
12.94612885	0.00073980
12.96997070	0.01381255
12.99381256	0.03156510
13.01765442	0.02507517
13.04149628	0.00657452
13.06533813	0.00085627
13.08917999	0.00058946
13.11302185	0.00073587
13.13686371	0.00071862
13.16070557	0.00041762
13.18454742	0.00033908
13.20838928	0.00056167
13.23223114	0.00074579
13.25607300	0.00051612
13.27991486	0.00119449
13.30375671	0.00236957
13.32759857	0.00222905
13.35144043	0.00222425
13.37528229	0.00119710
13.39912415	0.00048952
13.42296600	0.00050453
13.44680786	0.00033686
13.47064972	0.00025496
13.49449158	0.00050680
13.51833344	0.00060384
13.54217529	0.00074421
13.56601715	0.00062178
13.58985901	0.00093112
13.61370087	0.00152997
13.63754272	0.00253408
13.66138458	0.00295465
13.68522644	0.00189817
13.70906830	0.00124342
13.73291016	0.00096076
13.75675201	0.00047244
13.78059387	0.00020199
13.80443573	0.00044914
13.82827759	0.00083794
