Частота	A * B
(kГц)	(?)

0.00000000	0.11525060
0.02384186	0.05734064
0.04768372	0.12492320
0.07152557	0.29856330
0.09536743	0.32139500
0.11920929	0.10866320
0.14305115	0.04025334
0.16689301	0.08071113
0.19073486	0.05748347
0.21457672	0.07748225
0.23841858	0.08819743
0.26226044	0.08892007
0.28610229	0.04445046
0.30994415	0.03709271
0.33378601	0.08064225
0.35762787	0.05802924
0.38146973	0.07493711
0.40531158	0.06564564
0.42915344	0.02696406
0.45299530	0.05904436
0.47683716	0.06516966
0.50067902	0.08261766
0.52452087	0.05857065
0.54836273	0.07405863
0.57220459	0.06789091
0.59604645	0.01054822
0.61988831	0.14188590
0.64373016	0.19844700
0.66757202	0.12648240
0.69141388	0.06214079
0.71525574	0.07337844
0.73909760	0.07070470
0.76293945	0.13936280
0.78678131	0.63082030
0.81062317	1.04340000
0.83446503	0.61592330
0.85830688	0.06619832
0.88214874	0.07203910
0.90599060	0.07190485
0.92983246	0.06152088
0.95367432	0.09977783
0.97751617	0.12920240
1.00135803	0.09486322
1.02519989	0.00393013
1.04904175	0.06920010
1.07288361	0.07267394
1.09672546	0.05986411
1.12056732	0.08049757
1.14440918	0.04704416
1.16825104	0.04867788
1.19209290	0.04297680
1.21593475	0.06999440
1.23977661	0.07371748
1.26361847	0.05916128
1.28746033	0.08045438
1.31130219	0.03320250
1.33514404	0.05788633
1.35898590	0.12946400
1.38282776	0.11475050
1.40666962	0.07941362
1.43051147	0.05872620
1.45435333	0.07993171
1.47819519	0.02455755
1.50203705	0.37447000
1.52587891	1.05399300
1.54972076	0.97148730
1.57356262	0.31929850
1.59740448	0.06446949
1.62124634	0.08196608
1.64508820	0.05584250
1.66893005	0.09432410
1.69277191	0.17156720
1.71661377	0.18137090
1.74045563	0.06045565
1.76429749	0.04331734
1.78813934	0.08075999
1.81198120	0.05666509
1.83582306	0.07740068
1.85966492	0.07255480
1.88350677	0.06181527
1.90734863	0.04137563
1.93119049	0.04355178
1.95503235	0.08083193
1.97887421	0.05700739
2.00271606	0.07614992
2.02655792	0.06287149
2.05039978	0.01683212
2.07424164	0.07863284
2.09808350	0.09101555
2.12192535	0.08684336
2.14576721	0.05747019
2.16960907	0.07531827
2.19345093	0.06655576
2.21729279	0.03094281
2.24113464	0.25235320
2.26497650	0.35746290
2.28881836	0.19831480
2.31266022	0.06778010
2.33650208	0.07476782
2.36034393	0.06922614
2.38418579	0.07799930
2.40802765	0.21644600
2.43186951	0.33855610
2.45571136	0.19964100
2.47955322	0.00784545
2.50339508	0.07323030
2.52723694	0.07038738
2.55107880	0.06232592
2.57492065	0.08737891
2.59876251	0.08883243
2.62260437	0.06902070
2.64644623	0.01422312
2.67028809	0.07067145
2.69412994	0.07122941
2.71797180	0.06130082
2.74181366	0.07925829
2.76565552	0.03418078
2.78949738	0.04769889
2.81333923	0.06425505
2.83718109	0.07731766
2.86102295	0.07244488
2.88486481	0.06067079
2.90870667	0.07988882
2.93254852	0.03050120
2.95639038	0.08615658
2.98023224	0.19963320
3.00407410	0.16530180
3.02791595	0.08493013
3.05175781	0.05920624
3.07559967	0.08126984
3.09944153	0.06929240
3.12328339	0.34577780
3.14712524	0.87376730
