Частота	A * B
(kГц)	(?)

0.00000000	3.10688300
0.02384186	1.30294100
0.04768372	0.27686930
0.07152557	0.20186690
0.09536743	0.15009420
0.11920929	0.06178896
0.14305115	0.06053659
0.16689301	0.03463817
0.19073486	0.02738317
0.21457672	0.01140376
0.23841858	0.14965500
0.26226044	0.32016450
0.28610229	0.28105800
0.30994415	0.34610520
0.33378601	1.14130200
0.35762787	1.20737600
0.38146973	0.44509370
0.40531158	0.15242650
0.42915344	0.15466350
0.45299530	0.05502940
0.47683716	0.01889339
0.50067902	0.04619495
0.52452087	0.18406440
0.54836273	0.24358980
0.57220459	0.21867900
0.59604645	0.64488820
0.61988831	0.88679360
0.64373016	0.46446040
0.66757202	0.17066480
0.69141388	0.19045010
0.71525574	0.11363590
0.73909760	0.05296492
0.76293945	0.04999017
0.78678131	0.05470220
0.81062317	0.10552200
0.83446503	0.11375160
0.85830688	0.07739304
0.88214874	0.06083166
0.90599060	0.13859310
0.92983246	0.19201280
0.95367432	0.16341630
0.97751617	0.11260590
1.00135803	0.08289236
1.02519989	0.22094120
1.04904175	0.21359510
1.07288361	0.05109525
1.09672546	0.01429248
1.12056732	0.02278796
1.14440918	0.05092396
1.16825104	0.11543170
1.19209290	0.26200480
1.21593475	0.59933660
1.23977661	0.62524070
1.26361847	0.19913980
1.28746033	0.11392210
1.31130219	0.16503260
1.33514404	0.08319496
1.35898590	0.01831460
1.38282776	0.06435695
1.40666962	0.03859430
1.43051147	0.04893587
1.45435333	0.11901440
1.47819519	0.15903770
1.50203705	0.18593170
1.52587891	0.12119270
1.54972076	0.03050864
1.57356262	0.03584477
1.59740448	0.06085421
1.62124634	0.04434911
1.64508820	0.06209500
1.66893005	0.05563771
1.69277191	0.01389102
1.71661377	0.00469634
1.74045563	0.05069219
1.76429749	0.05265426
1.78813934	0.05591698
1.81198120	0.20920650
1.83582306	0.41660590
1.85966492	0.33781170
1.88350677	0.08556864
1.90734863	0.01432984
1.93119049	0.02430217
1.95503235	0.24768830
1.97887421	1.35076500
2.00271606	2.05824400
2.02655792	1.09277800
2.05039978	0.08909290
2.07424164	0.09157006
2.09808350	0.13712180
2.12192535	0.22481620
2.14576721	0.31877060
2.16960907	0.27988410
2.19345093	0.10328650
2.21729279	0.03486949
2.24113464	0.06609393
2.26497650	0.14736510
2.28881836	0.10657300
2.31266022	0.03739584
2.33650208	0.04363670
2.36034393	0.03665042
2.38418579	0.05307027
2.40802765	0.09777839
2.43186951	0.11642830
2.45571136	0.13237700
2.47955322	0.12533930
2.50339508	0.04558408
2.52723694	0.08762111
2.55107880	0.09885316
2.57492065	0.05735659
2.59876251	0.03501756
2.62260437	0.04658154
2.64644623	0.07658959
2.67028809	0.18989590
2.69412994	0.24007890
2.71797180	0.14836040
2.74181366	0.34599300
2.76565552	0.70106430
2.78949738	0.49945080
2.81333923	0.07636957
2.83718109	0.03298179
2.86102295	0.04581606
2.88486481	0.11113890
2.90870667	0.10785990
2.93254852	0.08222857
2.95639038	0.05279111
2.98023224	0.04525783
3.00407410	0.22843600
3.02791595	0.64815250
3.05175781	0.64779800
3.07559967	0.25853090
3.09944153	0.05848303
3.12328339	0.03863843
3.14712524	0.09296456
