Частота	Канал A
(kГц)	(В)

0.00000000	0.14969450
0.02384186	0.06270576
0.04768372	0.00971897
0.07152557	0.00123380
0.09536743	0.00043412
0.11920929	0.00025881
0.14305115	0.00041767
0.16689301	0.00050445
0.19073486	0.00044614
0.21457672	0.00020289
0.23841858	0.00036334
0.26226044	0.00098954
0.28610229	0.00176272
0.30994415	0.00211087
0.33378601	0.00182661
0.35762787	0.00159639
0.38146973	0.00139944
0.40531158	0.00089295
0.42915344	0.00038743
0.45299530	0.00005742
0.47683716	0.00062890
0.50067902	0.00104233
0.52452087	0.00089029
0.54836273	0.00037918
0.57220459	0.00024290
0.59604645	0.00090787
0.61988831	0.00181781
0.64373016	0.00257237
0.66757202	0.00260191
0.69141388	0.00201545
0.71525574	0.00148745
0.73909760	0.00103441
0.76293945	0.00052844
0.78678131	0.00015633
0.81062317	0.00059073
0.83446503	0.00071616
0.85830688	0.00049941
0.88214874	0.00030579
0.90599060	0.00052686
0.92983246	0.00115447
0.95367432	0.00668455
0.97751617	0.04314610
1.00135803	0.06927922
1.02519989	0.03840718
1.04904175	0.00500860
1.07288361	0.00092758
1.09672546	0.00062543
1.12056732	0.00031766
1.14440918	0.00055774
1.16825104	0.00074803
1.19209290	0.00067893
1.21593475	0.00044009
1.23977661	0.00047812
1.26361847	0.00108241
1.28746033	0.00181933
1.31130219	0.00207495
1.33514404	0.00150836
1.35898590	0.00120650
1.38282776	0.00142744
1.40666962	0.00130332
1.43051147	0.00081583
1.45435333	0.00032097
1.47819519	0.00046297
1.50203705	0.00071286
1.52587891	0.00066075
1.54972076	0.00033344
1.57356262	0.00040184
1.59740448	0.00104602
1.62124634	0.00199100
1.64508820	0.00295632
1.66893005	0.00266989
1.69277191	0.00178659
1.71661377	0.00148440
1.74045563	0.00116721
1.76429749	0.00061254
1.78813934	0.00017071
1.81198120	0.00025714
1.83582306	0.00047924
1.85966492	0.00049645
1.88350677	0.00044601
1.90734863	0.00034494
1.93119049	0.00086541
1.95503235	0.00793268
1.97887421	0.04484321
2.00271606	0.06767122
2.02655792	0.03505326
2.05039978	0.00387614
2.07424164	0.00133679
2.09808350	0.00071101
2.12192535	0.00015610
2.14576721	0.00031881
2.16960907	0.00061771
2.19345093	0.00068009
2.21729279	0.00037231
2.24113464	0.00031963
2.26497650	0.00086403
2.28881836	0.00179801
2.31266022	0.00209023
2.33650208	0.00108848
2.36034393	0.00070135
2.38418579	0.00108082
2.40802765	0.00085171
2.43186951	0.00058410
2.45571136	0.00018238
2.47955322	0.00043316
2.50339508	0.00084610
2.52723694	0.00079747
2.55107880	0.00033163
2.57492065	0.00029334
2.59876251	0.00101709
2.62260437	0.00237182
2.64644623	0.00374814
2.67028809	0.00297729
2.69412994	0.00128273
2.71797180	0.00122182
2.74181366	0.00115256
2.76565552	0.00064124
2.78949738	0.00013112
2.81333923	0.00029539
2.83718109	0.00068540
2.86102295	0.00067692
2.88486481	0.00038086
2.90870667	0.00039911
2.93254852	0.00098508
2.95639038	0.00895159
2.98023224	0.04641290
3.00407410	0.06614962
3.02791595	0.03243385
3.05175781	0.00342982
3.07559967	0.00093482
3.09944153	0.00043793
3.12328339	0.00020404
3.14712524	0.00027215
3.17096710	0.00072123
3.19480896	0.00081125
3.21865082	0.00055988
3.24249268	0.00037042
3.26633453	0.00108926
3.29017639	0.00217383
3.31401825	0.00209838
3.33786011	0.00051351
3.36170197	0.00040944
3.38554382	0.00092758
3.40938568	0.00095896
3.43322754	0.00070768
3.45706940	0.00035225
3.48091125	0.00035704
3.50475311	0.00056725
3.52859497	0.00048765
3.55243683	0.00032712
3.57627869	0.00014337
3.60012054	0.00099965
3.62396240	0.00249471
3.64780426	0.00400724
3.67164612	0.00301515
3.69548798	0.00112712
3.71932983	0.00106247
3.74317169	0.00095789
3.76701355	0.00053111
3.79085541	0.00018113
3.81469727	0.00016164
3.83853912	0.00050253
3.86238098	0.00067391
3.88622284	0.00056619
3.91006470	0.00011823
3.93390656	0.00058066
3.95774841	0.01002865
3.98159027	0.04729415
4.00543213	0.06346509
4.02927399	0.02919196
4.05311584	0.00276178
4.07695770	0.00108238
4.10079956	0.00093125
4.12464142	0.00048172
4.14848328	0.00033432
4.17232513	0.00052200
4.19616699	0.00067079
4.22000885	0.00051381
4.24385071	0.00047231
4.26769257	0.00128617
4.29153442	0.00227551
4.31537628	0.00181276
4.33921814	0.00064419
4.36306000	0.00055264
4.38690186	0.00081990
4.41074371	0.00103588
4.43458557	0.00071739
4.45842743	0.00010463
4.48226929	0.00036170
4.50611115	0.00065472
4.52995300	0.00083902
4.55379486	0.00069037
4.57763672	0.00024291
4.60147858	0.00080312
4.62532043	0.00264800
4.64916229	0.00438997
4.67300415	0.00311464
4.69684601	0.00080222
4.72068787	0.00088606
4.74452972	0.00122719
4.76837158	0.00092054
4.79221344	0.00034712
4.81605530	0.00010327
4.83989716	0.00048154
4.86373901	0.00056988
4.88758087	0.00055927
4.91142273	0.00032158
4.93526459	0.00078997
4.95910645	0.01088584
4.98294830	0.04754497
5.00679016	0.06016174
5.03063202	0.02589659
5.05447388	0.00206572
5.07831573	0.00098865
5.10215759	0.00066908
5.12599945	0.00027565
5.14984131	0.00042148
5.17368317	0.00082583
5.19752502	0.00090731
5.22136688	0.00069435
5.24520874	0.00053661
5.26905060	0.00115117
5.29289246	0.00216016
5.31673431	0.00163226
5.34057617	0.00149383
5.36441803	0.00112485
5.38825989	0.00068559
5.41210175	0.00104721
5.43594360	0.00100220
5.45978546	0.00059538
5.48362732	0.00035663
5.50746918	0.00069538
5.53131104	0.00073335
5.55515289	0.00061625
5.57899475	0.00032606
5.60283661	0.00106560
5.62667847	0.00308928
5.65052032	0.00483712
5.67436218	0.00312671
5.69820404	0.00063684
5.72204590	0.00090029
5.74588776	0.00096844
5.76972961	0.00072115
5.79357147	0.00037590
5.81741333	0.00001905
5.84125519	0.00047100
5.86509705	0.00065913
5.88893890	0.00060171
5.91278076	0.00013001
5.93662262	0.00041227
5.96046448	0.01208682
5.98430634	0.04745257
6.00814819	0.05674097
6.03199005	0.02324803
6.05583191	0.00195048
6.07967377	0.00082377
6.10351563	0.00087082
6.12735748	0.00056267
6.15119934	0.00039747
6.17504120	0.00067066
6.19888306	0.00087216
6.22272491	0.00073700
6.24656677	0.00042591
6.27040863	0.00115144
6.29425049	0.00244527
6.31809235	0.00189028
6.34193420	0.00192094
6.36577606	0.00145644
6.38961792	0.00069095
6.41345978	0.00105020
6.43730164	0.00085877
6.46114349	0.00053185
6.48498535	0.00037583
6.50882721	0.00058496
6.53266907	0.00077078
6.55651093	0.00055938
6.58035278	0.00017579
6.60419464	0.00071532
6.62803650	0.00295072
6.65187836	0.00481612
6.67572021	0.00262819
6.69956207	0.00009926
6.72340393	0.00060122
6.74724579	0.00087862
6.77108765	0.00070795
6.79492950	0.00027953
6.81877136	0.00007636
6.84261322	0.00034181
6.86645508	0.00056828
6.89029694	0.00074365
6.91413879	0.00046790
6.93798065	0.00041125
6.96182251	0.01251313
6.98566437	0.04633540
7.00950623	0.05242607
7.03334808	0.02010800
7.05718994	0.00147717
7.08103180	0.00087479
7.10487366	0.00065521
7.12871552	0.00024385
7.15255737	0.00024704
7.17639923	0.00040806
7.20024109	0.00054972
7.22408295	0.00050474
7.24792480	0.00029226
7.27176666	0.00084506
7.29560852	0.00190094
7.31945038	0.00144751
7.34329224	0.00267940
7.36713409	0.00192675
7.39097595	0.00036992
7.41481781	0.00061040
7.43865967	0.00071406
7.46250153	0.00040978
7.48634338	0.00023012
7.51018524	0.00045003
7.53402710	0.00071649
7.55786896	0.00077108
7.58171082	0.00053895
7.60555267	0.00093888
7.62939453	0.00326869
7.65323639	0.00483059
7.67707825	0.00246321
7.70092010	0.00039041
7.72476196	0.00036533
7.74860382	0.00082846
7.77244568	0.00070433
7.79628754	0.00037329
7.82012939	0.00015285
7.84397125	0.00051892
7.86781311	0.00067081
7.89165497	0.00057977
7.91549683	0.00017721
7.93933868	0.00037043
7.96318054	0.01342266
7.98702240	0.04492128
8.01086426	0.04788179
8.03470612	0.01730785
8.05854797	0.00121974
8.08238983	0.00089106
8.10623169	0.00080034
8.13007355	0.00047005
8.15391541	0.00005483
8.17775726	0.00035916
8.20159912	0.00072041
8.22544098	0.00075901
8.24928284	0.00038821
8.27312469	0.00072486
8.29696655	0.00184382
8.32080841	0.00143193
8.34465027	0.00277048
8.36849213	0.00194354
8.39233398	0.00037881
8.41617584	0.00065520
8.44001770	0.00065626
8.46385956	0.00038508
8.48770142	0.00008017
8.51154327	0.00053075
8.53538513	0.00086705
8.55922699	0.00090141
8.58306885	0.00062760
8.60691071	0.00072472
8.63075256	0.00330589
8.65459442	0.00478879
8.67843628	0.00203944
8.70227814	0.00075751
8.72612000	0.00044279
8.74996185	0.00065715
8.77380371	0.00065945
8.79764557	0.00037119
8.82148743	0.00010159
8.84532928	0.00038576
8.86917114	0.00071905
8.89301300	0.00091837
8.91685486	0.00052945
8.94069672	0.00029266
8.96453857	0.01379357
8.98838043	0.04283915
9.01222229	0.04321414
9.03606415	0.01480285
9.05990601	0.00106861
9.08374786	0.00064355
9.10758972	0.00065513
9.13143158	0.00053970
9.15527344	0.00020073
9.17911530	0.00031821
9.20295715	0.00066758
9.22679901	0.00087342
9.25064087	0.00062521
9.27448273	0.00057669
9.29832458	0.00169581
9.32216644	0.00154744
9.34600830	0.00327394
9.36985016	0.00219631
9.39369202	0.00047482
9.41753387	0.00083170
9.44137573	0.00103961
9.46521759	0.00062997
9.48905945	0.00020139
9.51290131	0.00045860
9.53674316	0.00080131
9.56058502	0.00084189
9.58442688	0.00060649
9.60826874	0.00064951
9.63211060	0.00334358
9.65595245	0.00466671
9.67979431	0.00191977
9.70363617	0.00080744
9.72747803	0.00038519
9.75131989	0.00066335
9.77516174	0.00062288
9.79900360	0.00048211
9.82284546	0.00033301
9.84668732	0.00043929
9.87052917	0.00070822
9.89437103	0.00092463
9.91821289	0.00069805
9.94205475	0.00057315
9.96589661	0.01402109
9.98973846	0.04006510
10.01358032	0.03825337
10.03742218	0.01236731
10.06126404	0.00087887
10.08510590	0.00068024
10.10894775	0.00070626
10.13278961	0.00054205
10.15663147	0.00026749
10.18047333	0.00033136
10.20431519	0.00080532
10.22815704	0.00103615
10.25199890	0.00089059
10.27584076	0.00051430
10.29968262	0.00120387
10.32352448	0.00184289
10.34736633	0.00373914
10.37120819	0.00228975
10.39505005	0.00025502
10.41889191	0.00047746
10.44273376	0.00064739
10.46657562	0.00055907
10.49041748	0.00034881
10.51425934	0.00015246
10.53810120	0.00036574
10.56194305	0.00075763
10.58578491	0.00078251
10.60962677	0.00056960
10.63346863	0.00311234
10.65731049	0.00434594
10.68115234	0.00178264
10.70499420	0.00126494
10.72883606	0.00055741
10.75267792	0.00076706
10.77651978	0.00086681
10.80036163	0.00068973
10.82420349	0.00039628
10.84804535	0.00036837
10.87188721	0.00077856
10.89572906	0.00099615
10.91957092	0.00082078
10.94341278	0.00065223
10.96725464	0.01386421
10.99109650	0.03702758
11.01493835	0.03341348
11.03878021	0.01014710
11.06262207	0.00068439
11.08646393	0.00057554
11.11030579	0.00067227
11.13414764	0.00062695
11.15798950	0.00034260
11.18183136	0.00033358
11.20567322	0.00064157
11.22951508	0.00089632
11.25335693	0.00079680
11.27719879	0.00054685
11.30104065	0.00106210
11.32488251	0.00198420
11.34872437	0.00377520
11.37256622	0.00240956
11.39640808	0.00072916
11.42024994	0.00078780
11.44409180	0.00081816
11.46793365	0.00067959
11.49177551	0.00036733
11.51561737	0.00022292
11.53945923	0.00050529
11.56330109	0.00076778
11.58714294	0.00077963
11.61098480	0.00047507
11.63482666	0.00279633
11.65866852	0.00358487
11.68251038	0.00143097
11.70635223	0.00140751
11.73019409	0.00034606
11.75403595	0.00030370
11.77787781	0.00050952
11.80171967	0.00058357
11.82556152	0.00036531
11.84940338	0.00025615
11.87324524	0.00057889
11.89708710	0.00087615
11.92092896	0.00088870
11.94477081	0.00112419
11.96861267	0.01354958
11.99245453	0.03336253
12.01629639	0.02851919
12.04013824	0.00812829
12.06398010	0.00040820
12.08782196	0.00041864
12.11166382	0.00060839
12.13550568	0.00036697
12.15934753	0.00024250
12.18318939	0.00005605
12.20703125	0.00055259
12.23087311	0.00085945
12.25471497	0.00074770
12.27855682	0.00024021
12.30239868	0.00060229
12.32624054	0.00231547
12.35008240	0.00411346
12.37392426	0.00255511
12.39776611	0.00062109
12.42160797	0.00049750
12.44544983	0.00081835
12.46929169	0.00085439
12.49313354	0.00051503
12.51697540	0.00009278
12.54081726	0.00048327
12.56465912	0.00081286
12.58850098	0.00087903
12.61234283	0.00073310
12.63618469	0.00263466
12.66002655	0.00299924
12.68386841	0.00135753
12.70771027	0.00161194
12.73155212	0.00043871
12.75539398	0.00038888
12.77923584	0.00063103
12.80307770	0.00076363
12.82691956	0.00057415
12.85076141	0.00017986
12.87460327	0.00043026
12.89844513	0.00082962
12.92228699	0.00092689
12.94612885	0.00123624
12.96997070	0.01279374
12.99381256	0.02949916
13.01765442	0.02399711
13.04149628	0.00679118
13.06533813	0.00084098
13.08917999	0.00035193
13.11302185	0.00062372
13.13686371	0.00073595
13.16070557	0.00044208
13.18454742	0.00025583
13.20838928	0.00076794
13.23223114	0.00105891
13.25607300	0.00095911
13.27991486	0.00051091
13.30375671	0.00032142
13.32759857	0.00261016
13.35144043	0.00404128
13.37528229	0.00227407
13.39912415	0.00056699
13.42296600	0.00028482
13.44680786	0.00057179
13.47064972	0.00069364
13.49449158	0.00049999
13.51833344	0.00035236
13.54217529	0.00054388
13.56601715	0.00079810
13.58985901	0.00077731
13.61370087	0.00053216
13.63754272	0.00203573
13.66138458	0.00229924
13.68522644	0.00133859
13.70906830	0.00165914
13.73291016	0.00064280
13.75675201	0.00027191
13.78059387	0.00062699
13.80443573	0.00069609
13.82827759	0.00040215
