Time,Object Name,Status,Value,Units,Alert ID,Priority
15.03.2019 9:28:31,TIC Gauge 2,5,9.9000e+09,59,0,0
15.03.2019 9:28:31,TIC Turbo Speed,,1.6,,0,0
15.03.2019 9:28:31,TIC Turbo Power,,8.2,,0,0
15.03.2019 9:28:31,TIC Gauge 3,5,9.9000e+09,59,0,0
15.03.2019 9:28:31,TIC Gauge 1,11,1.0000e+05,59,0,0
15.03.2019 9:28:33,TIC Gauge 3,5,9.9000e+09,59,0,0
15.03.2019 9:28:33,TIC Turbo Speed,,1.6,,0,0
15.03.2019 9:28:33,TIC Turbo Power,,8.0,,0,0
15.03.2019 9:28:33,TIC Gauge 1,11,1.0000e+05,59,0,0
15.03.2019 9:28:33,TIC Gauge 2,5,9.9000e+09,59,0,0
15.03.2019 9:28:35,TIC Turbo Speed,,1.6,,0,0
15.03.2019 9:28:35,TIC Turbo Power,,8.2,,0,0
15.03.2019 9:28:35,TIC Gauge 1,11,1.0000e+05,59,0,0
15.03.2019 9:28:35,TIC Gauge 2,5,9.9000e+09,59,0,0
15.03.2019 9:28:35,TIC Gauge 3,5,9.9000e+09,59,0,0
15.03.2019 9:28:37,TIC Turbo Speed,,1.6,,0,0
15.03.2019 9:28:37,TIC Turbo Power,,7.0,,0,0
15.03.2019 9:28:37,TIC Gauge 1,11,1.0000e+05,59,0,0
15.03.2019 9:28:37,TIC Gauge 2,5,9.9000e+09,59,0,0
15.03.2019 9:28:37,TIC Gauge 3,5,9.9000e+09,59,0,0
15.03.2019 9:28:39,TIC Turbo Speed,,1.6,,0,0
15.03.2019 9:28:39,TIC Turbo Power,,7.5,,0,0
15.03.2019 9:28:39,TIC Gauge 1,11,1.0000e+05,59,0,0
15.03.2019 9:28:39,TIC Gauge 2,5,9.9000e+09,59,0,0
15.03.2019 9:28:39,TIC Gauge 3,5,9.9000e+09,59,0,0
15.03.2019 9:28:41,TIC Turbo Speed,,1.6,,0,0
15.03.2019 9:28:41,TIC Turbo Power,,7.3,,0,0
15.03.2019 9:28:41,TIC Gauge 1,11,1.0000e+05,59,0,0
15.03.2019 9:28:41,TIC Gauge 2,5,9.9000e+09,59,0,0
