Time,Object Name,Status,Value,Units,Alert ID,Priority
27.02.2019 9:50:07,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:07,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:07,TIC Turbo Power,,6.1,,0,0
27.02.2019 9:50:07,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:07,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:09,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:09,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:09,TIC Turbo Power,,8.2,,0,0
27.02.2019 9:50:09,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:09,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:11,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:11,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:11,TIC Turbo Power,,5.8,,0,0
27.02.2019 9:50:11,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:11,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:13,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:13,TIC Turbo Power,,7.0,,0,0
27.02.2019 9:50:13,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:13,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:13,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:15,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:15,TIC Turbo Power,,8.2,,0,0
27.02.2019 9:50:15,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:15,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:15,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:17,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:17,TIC Turbo Power,,6.1,,0,0
27.02.2019 9:50:17,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:17,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:17,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:19,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:19,TIC Turbo Power,,8.2,,0,0
27.02.2019 9:50:19,TIC Gauge 1,11,1.0000e+05,59,0,0
27.02.2019 9:50:19,TIC Gauge 2,5,9.9000e+09,59,0,0
27.02.2019 9:50:19,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:21,TIC Gauge 3,5,9.9000e+09,59,0,0
27.02.2019 9:50:21,TIC Turbo Speed,,1.6,,0,0
27.02.2019 9:50:21,TIC Turbo Power,,7.3,,0,0
27.02.2019 9:50:21,TIC Gauge 1,11,1.0000e+05,59,0,0
