Time,Object Name,Status,Value,Units,Alert ID,Priority
14.03.2019 12:41:25,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:26,TIC Turbo Power,,5.4,,0,0
14.03.2019 12:41:26,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:26,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:26,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:28,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:28,TIC Turbo Power,,7.5,,0,0
14.03.2019 12:41:28,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:28,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:28,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:30,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:30,TIC Turbo Power,,7.0,,0,0
14.03.2019 12:41:30,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:30,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:30,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:32,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:32,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:32,TIC Turbo Power,,7.0,,0,0
14.03.2019 12:41:32,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:32,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:34,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:34,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:34,TIC Turbo Power,,8.0,,0,0
14.03.2019 12:41:34,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:34,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:36,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:36,TIC Turbo Power,,8.7,,0,0
14.03.2019 12:41:36,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:36,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:36,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:38,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:38,TIC Turbo Power,,7.5,,0,0
14.03.2019 12:41:38,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:38,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:38,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:40,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:40,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:40,TIC Turbo Power,,7.3,,0,0
14.03.2019 12:41:40,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:40,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:42,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:42,TIC Turbo Power,,6.8,,0,0
14.03.2019 12:41:42,TIC Gauge 1,11,1.0000e+05,59,0,0
14.03.2019 12:41:42,TIC Gauge 2,5,9.9000e+09,59,0,0
14.03.2019 12:41:42,TIC Gauge 3,5,9.9000e+09,59,0,0
14.03.2019 12:41:44,TIC Turbo Speed,,1.6,,0,0
14.03.2019 12:41:44,TIC Turbo Power,,7.5,,0,0
