Time,Object Name,Status,Value,Units,Alert ID,Priority
29.03.2019 9:37:38,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:38,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:38,TIC Turbo Power,,6.1,,0,0
29.03.2019 9:37:38,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:38,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:40,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:40,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:40,TIC Turbo Power,,8.2,,0,0
29.03.2019 9:37:40,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:40,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:42,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:42,TIC Turbo Power,,7.0,,0,0
29.03.2019 9:37:42,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:42,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:42,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:44,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:44,TIC Turbo Power,,7.0,,0,0
29.03.2019 9:37:44,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:44,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:45,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:46,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:46,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:46,TIC Turbo Power,,7.0,,0,0
29.03.2019 9:37:46,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:47,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:48,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:48,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:48,TIC Turbo Power,,8.2,,0,0
29.03.2019 9:37:48,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:49,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:50,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:51,TIC Turbo Power,,7.0,,0,0
29.03.2019 9:37:51,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:51,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:51,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:53,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:53,TIC Turbo Power,,8.2,,0,0
29.03.2019 9:37:53,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:53,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:53,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:55,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:55,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:55,TIC Turbo Power,,8.0,,0,0
29.03.2019 9:37:55,TIC Gauge 1,11,1.0000e+05,59,0,0
29.03.2019 9:37:55,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:57,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:57,TIC Turbo Power,,6.1,,0,0
29.03.2019 9:37:57,TIC Gauge 1,11,2.1015e+04,59,0,0
29.03.2019 9:37:57,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:57,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:37:59,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:37:59,TIC Turbo Power,,8.0,,0,0
29.03.2019 9:37:59,TIC Gauge 1,11,9.3424e+03,59,0,0
29.03.2019 9:37:59,TIC Gauge 2,5,9.9000e+09,59,0,0
29.03.2019 9:37:59,TIC Gauge 3,5,9.9000e+09,59,0,0
29.03.2019 9:38:01,TIC Turbo Speed,,1.6,,0,0
29.03.2019 9:38:01,TIC Turbo Power,,8.4,,0,0
29.03.2019 9:38:01,TIC Gauge 1,11,5.3941e+03,59,0,0
