Time,Object Name,Status,Value,Units,Alert ID,Priority
26.02.2019 9:11:14,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:14,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:14,TIC Turbo Power,,7.0,,0,0
26.02.2019 9:11:14,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:14,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:16,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:16,TIC Turbo Power,,4.9,,0,0
26.02.2019 9:11:16,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:16,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:16,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:18,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:18,TIC Turbo Power,,6.1,,0,0
26.02.2019 9:11:18,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:18,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:18,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:20,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:20,TIC Turbo Power,,7.0,,0,0
26.02.2019 9:11:20,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:20,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:21,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:22,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:22,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:22,TIC Turbo Power,,8.0,,0,0
26.02.2019 9:11:22,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:22,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:24,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:24,TIC Turbo Power,,7.0,,0,0
26.02.2019 9:11:24,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:25,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:25,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:26,TIC Turbo Power,,7.5,,0,0
26.02.2019 9:11:26,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:27,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:27,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:27,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:28,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:28,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:29,TIC Turbo Power,,6.5,,0,0
26.02.2019 9:11:29,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:29,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:31,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:31,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:31,TIC Turbo Power,,8.0,,0,0
26.02.2019 9:11:31,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:31,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:33,TIC Turbo Power,,7.5,,0,0
26.02.2019 9:11:33,TIC Turbo Speed,,1.6,,0,0
26.02.2019 9:11:33,TIC Gauge 1,11,9.2807e+01,59,0,0
26.02.2019 9:11:33,TIC Gauge 2,5,9.9000e+09,59,0,0
26.02.2019 9:11:33,TIC Gauge 3,5,9.9000e+09,59,0,0
26.02.2019 9:11:35,TIC Turbo Speed,,1.6,,0,0
