Time,Object Name,Status,Value,Units,Alert ID,Priority
11.02.2019 14:23:42,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:42,TIC Turbo Power,,6.8,,0,0
11.02.2019 14:23:42,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:42,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:42,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:44,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:44,TIC Turbo Power,,6.3,,0,0
11.02.2019 14:23:44,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:44,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:44,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:46,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:46,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:46,TIC Turbo Power,,6.8,,0,0
11.02.2019 14:23:46,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:46,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:48,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:48,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:48,TIC Turbo Power,,6.8,,0,0
11.02.2019 14:23:48,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:48,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:50,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:50,TIC Turbo Power,,7.3,,0,0
11.02.2019 14:23:50,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:50,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:50,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:52,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:52,TIC Turbo Power,,6.5,,0,0
11.02.2019 14:23:52,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:52,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:52,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:54,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:54,TIC Turbo Power,,7.0,,0,0
11.02.2019 14:23:54,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:54,TIC Gauge 2,5,9.9000e+09,59,0,0
11.02.2019 14:23:54,TIC Gauge 3,5,9.9000e+09,59,0,0
11.02.2019 14:23:56,TIC Turbo Speed,,1.6,,0,0
11.02.2019 14:23:56,TIC Turbo Power,,8.0,,0,0
11.02.2019 14:23:56,TIC Gauge 1,11,1.0000e+05,59,0,0
11.02.2019 14:23:56,TIC Gauge 2,5,9.9000e+09,59,0,0
