Time,Object Name,Status,Value,Units,Alert ID,Priority
28.03.2019 14:49:03,TIC Gauge 2,5,9.9000e+09,59,0,0
28.03.2019 14:49:03,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:03,TIC Turbo Power,,7.0,,0,0
28.03.2019 14:49:03,TIC Gauge 3,5,9.9000e+09,59,0,0
28.03.2019 14:49:03,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:05,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:05,TIC Turbo Power,,5.4,,0,0
28.03.2019 14:49:05,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:05,TIC Gauge 2,5,9.9000e+09,59,0,0
28.03.2019 14:49:05,TIC Gauge 3,5,9.9000e+09,59,0,0
28.03.2019 14:49:07,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:07,TIC Turbo Power,,7.0,,0,0
28.03.2019 14:49:07,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:07,TIC Gauge 2,5,9.9000e+09,59,0,0
28.03.2019 14:49:07,TIC Gauge 3,5,9.9000e+09,59,0,0
28.03.2019 14:49:09,TIC Gauge 3,5,9.9000e+09,59,0,0
28.03.2019 14:49:09,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:09,TIC Turbo Power,,6.1,,0,0
28.03.2019 14:49:09,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:09,TIC Gauge 2,5,9.9000e+09,59,0,0
28.03.2019 14:49:11,TIC Gauge 3,5,9.9000e+09,59,0,0
28.03.2019 14:49:11,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:11,TIC Turbo Power,,6.1,,0,0
28.03.2019 14:49:11,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:11,TIC Gauge 2,5,9.9000e+09,59,0,0
28.03.2019 14:49:13,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:13,TIC Turbo Power,,6.1,,0,0
28.03.2019 14:49:13,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:13,TIC Gauge 2,5,9.9000e+09,59,0,0
28.03.2019 14:49:14,TIC Gauge 3,5,9.9000e+09,59,0,0
28.03.2019 14:49:15,TIC Turbo Speed,,1.6,,0,0
28.03.2019 14:49:15,TIC Turbo Power,,6.1,,0,0
28.03.2019 14:49:15,TIC Gauge 1,11,1.0000e+05,59,0,0
28.03.2019 14:49:15,TIC Gauge 2,5,9.9000e+09,59,0,0
