Time,Object Name,Status,Value,Units,Alert ID,Priority
20.03.2019 9:20:51,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:20:51,TIC Turbo Power,,7.5,,0,0
20.03.2019 9:20:51,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:20:51,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:20:51,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:20:53,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:20:53,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:20:53,TIC Turbo Power,,6.1,,0,0
20.03.2019 9:20:53,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:20:53,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:20:55,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:20:55,TIC Turbo Power,,7.3,,0,0
20.03.2019 9:20:55,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:20:55,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:20:55,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:20:57,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:20:57,TIC Turbo Power,,8.0,,0,0
20.03.2019 9:20:57,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:20:57,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:20:57,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:20:59,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:20:59,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:20:59,TIC Turbo Power,,6.5,,0,0
20.03.2019 9:20:59,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:20:59,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:01,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:01,TIC Turbo Power,,6.1,,0,0
20.03.2019 9:21:01,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:01,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:02,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:03,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:03,TIC Turbo Power,,6.1,,0,0
20.03.2019 9:21:03,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:04,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:04,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:05,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:05,TIC Turbo Power,,8.2,,0,0
20.03.2019 9:21:06,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:06,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:06,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:07,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:07,TIC Turbo Power,,6.5,,0,0
20.03.2019 9:21:08,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:08,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:08,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:09,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:10,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:10,TIC Turbo Power,,8.2,,0,0
20.03.2019 9:21:10,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:10,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:12,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:12,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:12,TIC Turbo Power,,6.5,,0,0
20.03.2019 9:21:12,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:12,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:14,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:14,TIC Turbo Power,,7.5,,0,0
20.03.2019 9:21:14,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:14,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:14,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:16,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:16,TIC Turbo Power,,7.3,,0,0
20.03.2019 9:21:16,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:16,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:16,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2019 9:21:18,TIC Turbo Power,,8.7,,0,0
20.03.2019 9:21:18,TIC Turbo Speed,,1.6,,0,0
20.03.2019 9:21:18,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2019 9:21:18,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2019 9:21:18,TIC Gauge 3,5,9.9000e+09,59,0,0
