Время	Канал A	A * B
(mс)	(В)	(?)

-2.49726605	1.07382400	0.23325510
-2.49662605	1.07382400	0.27047150
-2.49598605	1.05581800	0.32237340
-2.49534605	1.05581800	0.35415200
-2.49470605	1.07382400	0.39136840
-2.49406605	1.05581800	0.41206650
-2.49342605	1.05581800	0.44714470
-2.49278605	1.03775100	0.46576910
-2.49214605	1.05581800	0.48436110
-2.49150605	1.05581800	0.49364110
-2.49086605	1.05581800	0.51226540
-2.49022605	1.05581800	0.49434680
-2.48958605	1.05581800	0.49434680
-2.48894605	1.03775100	0.48519400
-2.48830605	1.03775100	0.47607290
-2.48766605	1.03775100	0.44864610
-2.48702605	1.03775100	0.43037210
-2.48638605	1.03775100	0.40294540
-2.48574605	1.03775100	0.37551860
-2.48510605	1.03775100	0.33897070
-2.48446605	1.03775100	0.30239110
-2.48382605	1.03775100	0.25669040
-2.48318605	1.03775100	0.21098970
-2.48254605	1.03775100	0.16528900
-2.48190605	1.03775100	0.11958830
-2.48126605	1.03775100	0.06473476
-2.48062605	1.03775100	0.01873491
-2.47998605	1.03775100	-0.03513573
-2.47934605	1.01974500	-0.08004350
-2.47870605	1.01974500	-0.12495130
-2.47806605	1.01974500	-0.17885300
-2.47742605	1.01974500	-0.22376080
-2.47678605	1.01974500	-0.25970570
-2.47614605	1.01974500	-0.30461340
-2.47550605	1.01974500	-0.34952120
-2.47486605	1.01974500	-0.37647210
-2.47422605	1.01974500	-0.40507950
-2.47358605	1.01974500	-0.43155290
-2.47294605	1.00167800	-0.44919170
-2.47230605	1.00167800	-0.47525050
-2.47166605	1.00167800	-0.48446910
-2.47102605	1.01974500	-0.48446910
-2.47038605	1.00167800	-0.48446910
-2.46974605	1.00167800	-0.48446910
-2.46910605	1.00167800	-0.46711470
-2.46846605	1.00167800	-0.46683040
-2.46782605	0.98367260	-0.44919170
-2.46718605	1.00167800	-0.43155290
-2.46654605	1.00167800	-0.40507950
-2.46590605	1.00167800	-0.37180050
-2.46526605	1.00167800	-0.34332870
-2.46462605	0.98367260	-0.29383790
-2.46398605	1.00167800	-0.25916460
-2.46334605	0.98367260	-0.22039750
-2.46270605	0.98367260	-0.18120210
-2.46206605	0.96560560	-0.12683390
-2.46142605	0.98367260	-0.08588786
-2.46078605	0.96560560	-0.04178682
-2.46014605	0.98367260	0.00942635
-2.45950605	0.96560560	0.06136134
-2.45886605	0.98367260	0.10275790
-2.45822605	0.98367260	0.15379790
-2.45758605	0.96560560	0.19632140
-2.45694605	0.96560560	0.23035800
-2.45630605	0.96560560	0.27288150
-2.45566605	0.96560560	0.30688850
-2.45502605	0.96560560	0.34089560
-2.45438605	0.96560560	0.36641560
-2.45374605	0.96560560	0.40045210
-2.45310605	0.96560560	0.42597220
-2.45246605	0.96560560	0.42635770
-2.45182605	0.96560560	0.44304420
-2.45118605	0.94759970	0.45997920
-2.45054605	0.94759970	0.45975950
-2.44990605	0.96560560	0.45975950
-2.44926605	0.94759970	0.45146270
-2.44862605	0.94759970	0.43471540
-2.44798605	0.96560560	0.42635770
-2.44734605	0.94759970	0.40967120
-2.44670605	0.94759970	0.37626940
-2.44606605	0.94759970	0.35125420
-2.44542605	0.94759970	0.32621010
-2.44478605	0.94759970	0.28724440
-2.44414605	0.94759970	0.24630670
-2.44350605	0.92959380	0.20934700
-2.44286605	0.92959380	0.17263030
-2.44222605	0.94759970	0.13169270
-2.44158605	0.92959380	0.08255617
-2.44094605	0.92959380	0.04161852
-2.44030605	0.92959380	-0.00748963
-2.43966605	0.92959380	-0.05659779
-2.43902605	0.92959380	-0.09563980
-2.43838605	0.92959380	-0.13847310
-2.43774605	0.91152690	-0.18760960
-2.43710605	0.92959380	-0.22854730
-2.43646605	0.92959380	-0.26128600
-2.43582605	0.92959380	-0.29405320
-2.43518605	0.92959380	-0.33499080
-2.43454605	0.92959380	-0.35257090
-2.43390605	0.92959380	-0.37666170
-2.43326605	0.91152690	-0.40072460
-2.43262605	0.91152690	-0.41680370
-2.43198605	0.91152690	-0.42481540
-2.43134605	0.91152690	-0.44086660
-2.43070605	0.91152690	-0.44086660
-2.43006605	0.91152690	-0.44890620
-2.42942605	0.91152690	-0.43215790
-2.42878605	0.91152690	-0.42430450
-2.42814605	0.89352090	-0.40857030
-2.42750605	0.89352090	-0.39280890
-2.42686605	0.89352090	-0.36922120
-2.42622605	0.89352090	-0.34560640
-2.42558605	0.89352090	-0.32848020
-2.42494605	0.89352090	-0.29049590
-2.42430605	0.91152690	-0.25114680
-2.42366605	0.89352090	-0.21179770
-2.42302605	0.89352090	-0.18032940
-2.42238605	0.89352090	-0.13812970
-2.42174605	0.89352090	-0.09375057
-2.42110605	0.87545390	-0.05440151
-2.42046605	0.89352090	-0.00719900
-2.41982605	0.89352090	0.03215006
-2.41918605	0.89352090	0.07005341
-2.41854605	0.89352090	0.11630150
-2.41790605	0.87545390	0.15485490
-2.41726605	0.87545390	0.19340830
-2.41662605	0.87545390	0.23196180
-2.41598605	0.87545390	0.27051520
-2.41534605	0.87545390	0.29365260
-2.41470605	0.87545390	0.32451140
-2.41406605	0.87545390	0.34762200
-2.41342605	0.87545390	0.37075950
-2.41278605	0.87545390	0.39389680
-2.41214605	0.87545390	0.39335790
-2.41150605	0.87545390	0.40845690
-2.41086605	0.85744800	0.40845690
-2.41022605	0.85744800	0.40845690
-2.40958605	0.85744800	0.40845690
-2.40894605	0.85744800	0.40089430
-2.40830605	0.85744800	0.38579540
-2.40766605	0.85744800	0.37825900
-2.40702605	0.85744800	0.35559750
-2.40638605	0.85744800	0.33293590
-2.40574605	0.85744800	0.30271180
-2.40510605	0.85744800	0.28007650
-2.40446605	0.85744800	0.24985240
-2.40382605	0.85744800	0.20762300
-2.40318605	0.85744800	0.17065820
-2.40254605	0.83938110	0.13657100
-2.40190605	0.83938110	0.09465355
-2.40126605	0.85744800	0.05236045
-2.40062605	0.82137520	0.00804363
-2.39998605	0.83938110	-0.02830081
-2.39934605	0.83938110	-0.06588605
-2.39870605	0.82137520	-0.10788900
-2.39806605	0.83938110	-0.14406090
-2.39742605	0.82137520	-0.18023280
-2.39678605	0.82137520	-0.21640470
-2.39614605	0.82137520	-0.24535720
-2.39550605	0.82137520	-0.27428470
-2.39486605	0.82137520	-0.30323730
-2.39422605	0.82137520	-0.32492040
-2.39358605	0.82137520	-0.34662850
-2.39294605	0.82137520	-0.37558110
-2.39230605	0.82137520	-0.38280040
-2.39166605	0.82137520	-0.39004480
-2.39102605	0.82137520	-0.40450850
-2.39038605	0.82137520	-0.39726410
-2.38974605	0.82137520	-0.39726410
-2.38910605	0.82137520	-0.39726410
-2.38846605	0.82137520	-0.38280040
-2.38782605	0.82137520	-0.36734770
-2.38718605	0.82137520	-0.35387290
-2.38654605	0.80336920	-0.32488310
-2.38590605	0.82137520	-0.31045660
-2.38526605	0.80336920	-0.27535750
-2.38462605	0.82137520	-0.24703970
-2.38398605	0.80336920	-0.21166070
-2.38334605	0.80336920	-0.17628180
-2.38270605	0.80336920	-0.14090280
-2.38206605	0.80336920	-0.10552390
-2.38142605	0.80336920	-0.06856745
-2.38078605	0.80336920	-0.03476600
-2.38014605	0.78530230	0.00769854
-2.37950605	0.80336920	0.05011404
-2.37886605	0.80336920	0.08357033
-2.37822605	0.80336920	0.12507990
-2.37758605	0.78530230	0.16333650
-2.37694605	0.78530230	0.18734420
-2.37630605	0.80336920	0.22192750
-2.37566605	0.78530230	0.24958460
-2.37502605	0.78530230	0.27724160
-2.37438605	0.78530230	0.29799640
-2.37374605	0.78530230	0.31821010
-2.37310605	0.78530230	0.34643220
-2.37246605	0.76729640	0.36026080
-2.37182605	0.78530230	0.35874450
-2.37118605	0.78530230	0.37408930
-2.37054605	0.76729640	0.36551190
-2.36990605	0.78530230	0.38101550
-2.36926605	0.76729640	0.35874450
-2.36862605	0.78530230	0.35200050
-2.36798605	0.76729640	0.34523300
-2.36734605	0.76729640	0.33172160
-2.36670605	0.76729640	0.30467520
-2.36606605	0.76729640	0.29116380
-2.36542605	0.76729640	0.26414080
-2.36478605	0.76729640	0.23709450
-2.36414605	0.76729640	0.20512520
-2.36350605	0.76729640	0.17628120
-2.36286605	0.74922940	0.14249090
-2.36222605	0.76729640	0.10870050
-2.36158605	0.76729640	0.06653821
-2.36094605	0.76729640	0.03354349
-2.36030605	0.74922940	-0.00603646
-2.35966605	0.74922940	-0.04671640
-2.35902605	0.74922940	-0.07861113
-2.35838605	0.76729640	-0.11160580
-2.35774605	0.74922940	-0.15120870
-2.35710605	0.74922940	-0.17759530
-2.35646605	0.74922940	-0.21059000
-2.35582605	0.74922940	-0.24358470
-2.35518605	0.74922940	-0.26338620
-2.35454605	0.74922940	-0.28979560
-2.35390605	0.74922940	-0.30959700
-2.35326605	0.74922940	-0.32937560
-2.35262605	0.74922940	-0.34259180
-2.35198605	0.74922940	-0.35578510
-2.35134605	0.74922940	-0.36237030
-2.35070605	0.74922940	-0.36237030
-2.35006605	0.74922940	-0.36897840
-2.34942605	0.74922940	-0.36237030
-2.34878605	0.74922940	-0.34723460
-2.34814605	0.74922940	-0.33435840
-2.34750605	0.73122350	-0.32145980
-2.34686605	0.73122350	-0.30959700
-2.34622605	0.73122350	-0.28283110
-2.34558605	0.74922940	-0.25705630
-2.34494605	0.73122350	-0.23773080
-2.34430605	0.73122350	-0.20552900
-2.34366605	0.73122350	-0.18420340
-2.34302605	0.73122350	-0.14757470
-2.34238605	0.74922940	-0.11537290
-2.34174605	0.73122350	-0.07672189
-2.34110605	0.73122350	-0.04452012
-2.34046605	0.73122350	-0.00589139
-2.33982605	0.73122350	0.02566251
-2.33918605	0.73122350	0.05707134
-2.33854605	0.71321760	0.09474886
-2.33790605	0.71321760	0.12934270
-2.33726605	0.71321760	0.15756650
-2.33662605	0.73122350	0.18897530
-2.33598605	0.71321760	0.21411540
-2.33534605	0.71321760	0.23923380
-2.33470605	0.71321760	0.26437390
-2.33406605	0.71321760	0.28949230
-2.33342605	0.71321760	0.30205150
-2.33278605	0.71321760	0.32090110
-2.33214605	0.71321760	0.32719160
-2.33150605	0.71321760	0.33346030
-2.33086605	0.71321760	0.33975080
-2.33022605	0.71321760	0.34604120
-2.32958605	0.71321760	0.33975080
-2.32894605	0.71321760	0.33346030
-2.32830605	0.71321760	0.32719160
-2.32766605	0.71321760	0.31463240
-2.32702605	0.71321760	0.28829010
-2.32638605	0.71321760	0.27693310
-2.32574605	0.69515060	0.24541470
-2.32510605	0.71321760	0.22706370
-2.32446605	0.69515060	0.20256040
-2.32382605	0.69515060	0.16583730
-2.32318605	0.69515060	0.13767320
-2.32254605	0.69515060	0.11072090
-2.32190605	0.67714470	0.08010769
-2.32126605	0.69515060	0.04336338
-2.32062605	0.69515060	0.01277141
-2.31998605	0.69515060	-0.02395169
-2.31934605	0.69515060	-0.05315153
-2.31870605	0.69515060	-0.09130919
-2.31806605	0.67714470	-0.12192240
-2.31742605	0.69515060	-0.14858460
-2.31678605	0.69515060	-0.18314880
-2.31614605	0.67714470	-0.20227340
-2.31550605	0.69515060	-0.23826520
-2.31486605	0.67714470	-0.24998990
-2.31422605	0.69515060	-0.27383780
-2.31358605	0.67714470	-0.29173410
-2.31294605	0.67714470	-0.30365810
-2.31230605	0.67714470	-0.31558200
-2.31166605	0.67714470	-0.32750600
-2.31102605	0.67714470	-0.32750600
-2.31038605	0.67714470	-0.33347830
-2.30974605	0.67714470	-0.32750600
-2.30910605	0.67714470	-0.32750600
-2.30846605	0.67714470	-0.31558200
-2.30782605	0.67714470	-0.30963040
-2.30718605	0.67714470	-0.29173410
