Частота	A * B
(kГц)	(?)

0.00000000	4.27988100
0.02384186	1.86183800
0.04768372	0.36160610
0.07152557	0.03852011
0.09536743	0.09405827
0.11920929	0.08879982
0.14305115	0.08132765
0.16689301	0.02211317
0.19073486	0.09462322
0.21457672	0.11041320
0.23841858	0.08698509
0.26226044	0.05343022
0.28610229	0.09067864
0.30994415	0.24281330
0.33378601	0.31146290
0.35762787	0.25360190
0.38146973	0.11526290
0.40531158	0.02974558
0.42915344	0.10113770
0.45299530	0.11828330
0.47683716	0.08274750
0.50067902	0.03640998
0.52452087	0.06738005
0.54836273	0.11113840
0.57220459	0.09381627
0.59604645	0.02724539
0.61988831	0.11012440
0.64373016	0.23818150
0.66757202	0.29970100
0.69141388	0.24869050
0.71525574	0.11087040
0.73909760	0.04026746
0.76293945	0.08548578
0.78678131	0.11971420
0.81062317	0.10365950
0.83446503	0.02213217
0.85830688	0.08123065
0.88214874	0.09982803
0.90599060	0.10200200
0.92983246	0.04432892
0.95367432	0.18865980
0.97751617	0.77927370
1.00135803	1.17062700
1.02519989	0.73176870
1.04904175	0.18121370
1.07288361	0.03518157
1.09672546	0.08955318
1.12056732	0.10221730
1.14440918	0.11036930
1.16825104	0.03224705
1.19209290	0.08900867
1.21593475	0.10256950
1.23977661	0.07971891
1.26361847	0.04995115
1.28746033	0.08195494
1.31130219	0.23464050
1.33514404	0.31148490
1.35898590	0.26622830
1.38282776	0.13647670
1.40666962	0.02323263
1.43051147	0.10097680
1.45435333	0.11245090
1.47819519	0.08625663
1.50203705	0.04231710
1.52587891	0.06559028
1.54972076	0.10710040
1.57356262	0.08658992
1.59740448	0.04304386
1.62124634	0.07397736
1.64508820	0.21626390
1.66893005	0.29712730
1.69277191	0.25830360
1.71661377	0.12534630
1.74045563	0.04005282
1.76429749	0.08993690
1.78813934	0.11841410
1.81198120	0.09575471
1.83582306	0.03029425
1.85966492	0.05591216
1.88350677	0.09154805
1.90734863	0.10020890
1.93119049	0.04569443
1.95503235	0.17728370
1.97887421	0.70558260
2.00271606	1.01913300
2.02655792	0.63115270
2.05039978	0.17235810
2.07424164	0.03713603
2.09808350	0.09938096
2.12192535	0.11455630
2.14576721	0.10900960
2.16960907	0.02400490
2.19345093	0.07855042
2.21729279	0.08519027
2.24113464	0.07648409
2.26497650	0.05298468
2.28881836	0.08046915
2.31266022	0.24299640
2.33650208	0.32907290
2.36034393	0.28437420
2.38418579	0.14401460
2.40802765	0.02701614
2.43186951	0.10373700
2.45571136	0.11075600
2.47955322	0.09287500
2.50339508	0.04434779
2.52723694	0.06763869
2.55107880	0.10682260
2.57492065	0.07496622
2.59876251	0.04489245
2.62260437	0.06163424
2.64644623	0.20521260
2.67028809	0.29666930
2.69412994	0.27345720
2.71797180	0.15184790
2.74181366	0.03255141
2.76565552	0.08118182
2.78949738	0.11345090
2.81333923	0.08577814
2.83718109	0.03412095
2.86102295	0.05935770
2.88486481	0.09785709
2.90870667	0.10393540
2.93254852	0.07191484
2.95639038	0.12483860
2.98023224	0.54651480
3.00407410	0.78379090
3.02791595	0.50932370
3.05175781	0.17588910
3.07559967	0.04144822
3.09944153	0.08219737
3.12328339	0.10583260
3.14712524	0.10972050
