Время	A * B
(mс)	(?)

-0.93361164	-0.69082650
-0.93329164	-0.71777730
-0.93297164	-0.73573420
-0.93265164	-0.76268510
-0.93233164	-0.77164790
-0.93201164	-0.78963600
-0.93169164	-0.78963600
-0.93137164	-0.79859880
-0.93105164	-0.81655570
-0.93073164	-0.80208870
-0.93041164	-0.81655570
-0.93009164	-0.82554970
-0.92977164	-0.81655570
-0.92945164	-0.81655570
-0.92913164	-0.79328450
-0.92881164	-0.79859880
-0.92849164	-0.78963600
-0.92817164	-0.78064200
-0.92785164	-0.76268510
-0.92753164	-0.74472820
-0.92721164	-0.72674020
-0.92689164	-0.70878330
-0.92657164	-0.66975230
-0.92625164	-0.65488150
-0.92593164	-0.63692470
-0.92561164	-0.60101090
-0.92529164	-0.57406000
-0.92497164	-0.53814630
-0.92465164	-0.51119540
-0.92433164	-0.47525050
-0.92401164	-0.43155290
-0.92369164	-0.40339180
-0.92337164	-0.36747810
-0.92305164	-0.32257030
-0.92273164	-0.28154720
-0.92241164	-0.24171770
-0.92209164	-0.20580390
-0.92177164	-0.16089620
-0.92145164	-0.11598840
-0.92113164	-0.07108063
-0.92081164	-0.02617286
-0.92049164	0.00977203
-0.92017164	0.05464867
-0.91985164	0.09955644
-0.91953164	0.14446420
-0.91921164	0.18937200
-0.91889164	0.23012900
-0.91857164	0.28818150
-0.91825164	0.32409520
-0.91793164	0.36900300
-0.91761164	0.40491680
-0.91729164	0.44985570
-0.91697164	0.48576950
-0.91665164	0.52168320
-0.91633164	0.56659090
-0.91601164	0.60253590
-0.91569164	0.63844960
-0.91537164	0.66540050
-0.91505164	0.69235140
-0.91473164	0.72826520
-0.91441164	0.75521600
-0.91409164	0.78216690
-0.91377164	0.80911780
-0.91345164	0.83606870
-0.91313164	0.85402550
-0.91281164	0.87198250
-0.91249164	0.88097640
-0.91217164	0.89893330
-0.91185164	0.89184140
-0.91153164	0.92588420
-0.91121164	0.92588420
-0.91089164	0.93484710
-0.91057164	0.94384110
-0.91025164	0.92711890
-0.90993164	0.94384110
-0.90961164	0.93484710
-0.90929164	0.93484710
-0.90897164	0.92588420
-0.90865164	0.92588420
-0.90833164	0.90792730
-0.90801164	0.89893330
-0.90769164	0.87198250
-0.90737164	0.85402550
-0.90705164	0.83606870
-0.90673164	0.80361720
-0.90641164	0.77714380
-0.90609164	0.76421000
-0.90577164	0.74625310
-0.90545164	0.71030830
-0.90513164	0.68335740
-0.90481164	0.64744360
-0.90449164	0.60069530
-0.90417164	0.57558490
-0.90385164	0.53967120
-0.90353164	0.50372630
-0.90321164	0.46781260
-0.90289164	0.42290480
-0.90257164	0.38695990
-0.90225164	0.34205210
-0.90193164	0.30613840
-0.90161164	0.26123060
-0.90129164	0.20732880
-0.90097164	0.17141510
-0.90065164	0.12650730
-0.90033164	0.08159956
-0.90001164	0.03669179
-0.89969164	-0.00022572
-0.89937164	-0.00145950
-0.89905164	-0.00269327
-0.89873164	-0.00367995
-0.89841164	-0.00491372
-0.89809164	-0.00614750
-0.89777164	-0.00713503
-0.89745164	-0.00836880
-0.89713164	-0.00960258
-0.89681164	-0.01058925
