Время	Канал A	A * B
(mс)	(В)	(?)

-2.30675811	0.96560560	0.34289650
-2.30611811	0.94759970	0.37493210
-2.30547811	0.96560560	0.40045210
-2.30483811	0.96560560	0.42597220
-2.30419811	0.96560560	0.43471540
-2.30355811	0.94759970	0.45146270
-2.30291811	0.96560560	0.45140180
-2.30227811	0.94759970	0.45975950
-2.30163811	0.94759970	0.45140180
-2.30099811	0.94759970	0.45146270
-2.30035811	0.96560560	0.43471540
-2.29971811	0.94759970	0.42635770
-2.29907811	0.94759970	0.40131360
-2.29843811	0.94759970	0.37626940
-2.29779811	0.94759970	0.35125420
-2.29715811	0.94759970	0.31785230
-2.29651811	0.94759970	0.28447940
-2.29587811	0.94759970	0.24274890
-2.29523811	0.94759970	0.20934700
-2.29459811	0.94759970	0.16761640
-2.29395811	0.94759970	0.12588580
-2.29331811	0.94759970	0.07582649
-2.29267811	0.94759970	0.03409589
-2.29203811	0.94759970	-0.01596347
-2.29139811	0.94759970	-0.05769407
-2.29075811	0.94759970	-0.09942466
-2.29011811	0.94759970	-0.14951290
-2.28947811	0.94759970	-0.20339400
-2.28883811	0.96560560	-0.23297410
-2.28819811	0.94759970	-0.27470470
-2.28755811	0.94759970	-0.30807760
-2.28691811	0.94759970	-0.34147950
-2.28627811	0.94759970	-0.36652360
-2.28563811	0.94759970	-0.39989650
-2.28499811	0.94759970	-0.41658290
-2.28435811	0.94759970	-0.43329830
-2.28371811	0.94759970	-0.44998480
-2.28307811	0.94759970	-0.45831360
-2.28243811	0.94759970	-0.46667120
-2.28179811	0.94759970	-0.45831360
-2.28115811	0.94759970	-0.45831360
-2.28051811	0.94759970	-0.44998480
-2.27987811	0.94759970	-0.43329830
-2.27923811	0.94759970	-0.41658290
-2.27859811	0.94759970	-0.39156770
-2.27795811	0.94759970	-0.35955910
-2.27731811	0.92959380	-0.34147950
-2.27667811	0.94759970	-0.29974890
-2.27603811	0.94759970	-0.26634710
-2.27539811	0.94759970	-0.22461640
-2.27475811	0.94759970	-0.18288580
-2.27411811	0.94759970	-0.14115530
-2.27347811	0.94759970	-0.09942466
-2.27283811	0.94759970	-0.04936530
-2.27219811	0.94759970	-0.00763470
-2.27155811	0.94759970	0.04242466
-2.27091811	0.94759970	0.08255617
-2.27027811	0.92959380	0.13424350
-2.26963811	0.94759970	0.17263030
-2.26899811	0.92959380	0.20934700
-2.26835811	0.94759970	0.25450560
-2.26771811	0.92959380	0.29280820
-2.26707811	0.94759970	0.32621010
-2.26643811	0.94759970	0.35958300
-2.26579811	0.94759970	0.37626940
-2.26515811	0.94759970	0.40188690
-2.26451811	0.92959380	0.41825620
-2.26387811	0.92959380	0.43471540
-2.26323811	0.94759970	0.43462560
-2.26259811	0.92959380	0.45102340
-2.26195811	0.92959380	0.44282450
-2.26131811	0.92959380	0.45140180
-2.26067811	0.94759970	0.44304420
-2.26003811	0.94759970	0.41825620
-2.25939811	0.92959380	0.41008570
-2.25875811	0.92959380	0.39298480
-2.25811811	0.94759970	0.36794070
-2.25747811	0.94759970	0.32818210
-2.25683811	0.92959380	0.30116590
-2.25619811	0.94759970	0.26270450
-2.25555811	0.92959380	0.22176690
-2.25491811	0.92959380	0.18080080
-2.25427811	0.92959380	0.13986320
-2.25363811	0.92959380	0.09892555
-2.25299811	0.92959380	0.05078235
-2.25235811	0.94759970	0.00908067
-2.25171811	0.94759970	-0.04100761
-2.25107811	0.94759970	-0.08273821
-2.25043811	0.94759970	-0.12446880
-2.24979811	0.94759970	-0.17124020
-2.24915811	0.92959380	-0.21217790
-2.24851811	0.92959380	-0.25311550
-2.24787811	0.92959380	-0.28585430
-2.24723811	0.92959380	-0.31862140
-2.24659811	0.92959380	-0.35136020
-2.24595811	0.92959380	-0.38321010
-2.24531811	0.94759970	-0.40825420
-2.24467811	0.94759970	-0.42506500
-2.24403811	0.92959380	-0.43323550
-2.24339811	0.92959380	-0.44960490
-2.24275811	0.92959380	-0.44960490
-2.24211811	0.92959380	-0.44960490
-2.24147811	0.92959380	-0.44960490
-2.24083811	0.92959380	-0.44960490
-2.24019811	0.92959380	-0.43323550
-2.23955811	0.92959380	-0.41686610
-2.23891811	0.92959380	-0.39229780
-2.23827811	0.92959380	-0.36772960
-2.23763811	0.92959380	-0.34318970
-2.23699811	0.92959380	-0.31042250
-2.23635811	0.92959380	-0.26948490
-2.23571811	0.92959380	-0.23674610
-2.23507811	0.92959380	-0.19580850
-2.23443811	0.92959380	-0.15487080
-2.23379811	0.92959380	-0.12210370
-2.23315811	0.92959380	-0.07296717
-2.23251811	0.92959380	-0.02385902
-2.23187811	0.92959380	0.02527751
-2.23123811	0.92959380	0.06618679
-2.23059811	0.92959380	0.10712440
-2.22995811	0.92959380	0.15626100
-2.22931811	0.92959380	0.18899970
-2.22867811	0.92959380	0.22993740
-2.22803811	0.92959380	0.27087500
-2.22739811	0.92959380	0.30364220
-2.22675811	0.92959380	0.33638090
-2.22611811	0.92959380	0.36911970
-2.22547811	0.92959380	0.38551740
-2.22483811	0.92959380	0.41008570
-2.22419811	0.92959380	0.42645510
-2.22355811	0.92959380	0.44304420
-2.22291811	0.94759970	0.44282450
-2.22227811	0.92959380	0.45102340
-2.22163811	0.92959380	0.45140180
-2.22099811	0.94759970	0.44304420
