Частота	A * B
(kГц)	(?)

0.00000000	2.68902700
0.02384186	1.17495600
0.04768372	0.27928560
0.07152557	0.09632917
0.09536743	0.05733354
0.11920929	0.02293824
0.14305115	0.04765502
0.16689301	0.07076429
0.19073486	0.06487036
0.21457672	0.04036031
0.23841858	0.04447388
0.26226044	0.09878528
0.28610229	0.14045370
0.30994415	0.24553410
0.33378601	0.31054760
0.35762787	0.24641070
0.38146973	0.11545990
0.40531158	0.05935734
0.42915344	0.02128628
0.45299530	0.02057435
0.47683716	0.01529205
0.50067902	0.01077918
0.52452087	0.03834702
0.54836273	0.03513260
0.57220459	0.01312882
0.59604645	0.05348160
0.61988831	0.11502100
0.64373016	0.26504900
0.66757202	0.32628730
0.69141388	0.24425710
0.71525574	0.13611120
0.73909760	0.08755508
0.76293945	0.03292964
0.78678131	0.03873179
0.81062317	0.06125773
0.83446503	0.05218325
0.85830688	0.03217756
0.88214874	0.02940063
0.90599060	0.05970201
0.92983246	0.07562832
0.95367432	0.08580111
0.97751617	0.49950340
1.00135803	0.78746590
1.02519989	0.44308940
1.04904175	0.12732600
1.07288361	0.08109926
1.09672546	0.05347808
1.12056732	0.02479301
1.14440918	0.05538862
1.16825104	0.07775054
1.19209290	0.06811375
1.21593475	0.04452040
1.23977661	0.05256311
1.26361847	0.10809260
1.28746033	0.15942170
1.31130219	0.26203110
1.33514404	0.31578890
1.35898590	0.24105750
1.38282776	0.10269510
1.40666962	0.05328670
1.43051147	0.02432159
1.45435333	0.02318426
1.47819519	0.00735712
1.50203705	0.01391698
1.52587891	0.03655490
1.54972076	0.02525074
1.57356262	0.01782413
1.59740448	0.06721820
1.62124634	0.13326950
1.64508820	0.30680440
1.66893005	0.34519340
1.69277191	0.23593410
1.71661377	0.12878080
1.74045563	0.07671944
1.76429749	0.00769055
1.78813934	0.03529585
1.81198120	0.05084331
1.83582306	0.04174479
1.85966492	0.02360083
1.88350677	0.02262570
1.90734863	0.04545281
1.93119049	0.05789354
1.95503235	0.16186130
1.97887421	1.01541200
2.00271606	1.52030400
2.02655792	0.78783910
2.05039978	0.14208070
2.07424164	0.08031616
2.09808350	0.05478887
2.12192535	0.03042859
2.14576721	0.06376530
2.16960907	0.07973643
2.19345093	0.06279526
2.21729279	0.03780466
2.24113464	0.08210523
2.26497650	0.11983900
2.28881836	0.15935670
2.31266022	0.25544740
2.33650208	0.31019520
2.36034393	0.23874710
2.38418579	0.09576245
2.40802765	0.04913130
2.43186951	0.02774033
2.45571136	0.02151634
2.47955322	0.02067716
2.50339508	0.04792219
2.52723694	0.05799650
2.55107880	0.03039490
2.57492065	0.02710583
2.59876251	0.08899555
2.62260437	0.17578260
2.64644623	0.37069600
2.67028809	0.39604710
2.69412994	0.25557970
2.71797180	0.12078720
2.74181366	0.07381313
2.76565552	0.00967044
2.78949738	0.03001151
2.81333923	0.04389226
2.83718109	0.01869133
2.86102295	0.00753933
2.88486481	0.03244292
2.90870667	0.04000050
2.93254852	0.04253732
2.95639038	0.28543830
2.98023224	1.52601800
3.00407410	2.14792200
3.02791595	1.02830500
3.05175781	0.12982710
3.07559967	0.07271449
3.09944153	0.03636662
3.12328339	0.03721905
3.14712524	0.05602783
