Частота	A * B
(kГц)	(?)

0.00000000	2.92635000
0.02384186	1.19887300
0.04768372	0.17269630
0.07152557	0.05335523
0.09536743	0.07665068
0.11920929	0.01640553
0.14305115	0.12997340
0.16689301	0.24717570
0.19073486	0.24377350
0.21457672	0.09484714
0.23841858	0.03033412
0.26226044	0.10009320
0.28610229	0.10202150
0.30994415	0.16048710
0.33378601	0.43037550
0.35762787	0.44198810
0.38146973	0.16629520
0.40531158	0.08906027
0.42915344	0.05219345
0.45299530	0.05351771
0.47683716	0.10418950
0.50067902	0.10365430
0.52452087	0.15417290
0.54836273	0.11343180
0.57220459	0.05643390
0.59604645	0.03956047
0.61988831	0.13217630
0.64373016	0.34289970
0.66757202	0.35300810
0.69141388	0.25500680
0.71525574	0.18135720
0.73909760	0.06087283
0.76293945	0.03473536
0.78678131	0.08942063
0.81062317	0.21802120
0.83446503	0.19782570
0.85830688	0.10592620
0.88214874	0.03757924
0.90599060	0.03894719
0.92983246	0.05648012
0.95367432	0.19408300
0.97751617	0.49025770
1.00135803	0.61826330
1.02519989	0.26882710
1.04904175	0.01981352
1.07288361	0.08004626
1.09672546	0.08870284
1.12056732	0.01052843
1.14440918	0.14473500
1.16825104	0.26454860
1.19209290	0.22501610
1.21593475	0.07132731
1.23977661	0.06238973
1.26361847	0.10884890
1.28746033	0.03539419
1.31130219	0.15230050
1.33514404	0.49676370
1.35898590	0.49874150
1.38282776	0.18058350
1.40666962	0.07882988
1.43051147	0.05811175
1.45435333	0.01277037
1.47819519	0.06175816
1.50203705	0.12939640
1.52587891	0.21815240
1.54972076	0.16622780
1.57356262	0.05957871
1.59740448	0.01945860
1.62124634	0.12492480
1.64508820	0.20746580
1.66893005	0.29307560
1.69277191	0.38088490
1.71661377	0.25160040
1.74045563	0.06340758
1.76429749	0.05145688
1.78813934	0.06776599
1.81198120	0.16280280
1.83582306	0.13765890
1.85966492	0.10111870
1.88350677	0.08105506
1.90734863	0.03379380
1.93119049	0.07492679
1.95503235	0.22311450
1.97887421	0.70958470
2.00271606	0.97466540
2.02655792	0.51948570
2.05039978	0.14144570
2.07424164	0.10592190
2.09808350	0.06433740
2.12192535	0.01550556
2.14576721	0.15621830
2.16960907	0.25944830
2.19345093	0.19485100
2.21729279	0.06602795
2.24113464	0.06021208
2.26497650	0.08000643
2.28881836	0.08481141
2.31266022	0.19731320
2.33650208	0.52760280
2.36034393	0.49529530
2.38418579	0.16575920
2.40802765	0.03954194
2.43186951	0.06999283
2.45571136	0.04062588
2.47955322	0.05603741
2.50339508	0.17100140
2.52723694	0.25599760
2.55107880	0.17888510
2.57492065	0.03597177
2.59876251	0.07869962
2.62260437	0.11592010
2.64644623	0.06694806
2.67028809	0.29540690
2.69412994	0.48460720
2.71797180	0.29433370
2.74181366	0.08496004
2.76565552	0.06541675
2.78949738	0.03572700
2.81333923	0.09701409
2.83718109	0.08983697
2.86102295	0.10685560
2.88486481	0.12739800
2.90870667	0.08101749
2.93254852	0.08305187
2.95639038	0.18689170
2.98023224	0.69316260
3.00407410	1.00074200
3.02791595	0.60440950
3.05175781	0.24400090
3.07559967	0.11170170
3.09944153	0.02787197
3.12328339	0.03032322
3.14712524	0.14604230
